DESCRIPTION,REST,DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY
Hard wood packing size 6 feet x 1feet x 12 inch recessed both the ends bonded with 25 mm width x 4mm thickness M.S strip. make in wood : DHURSHANI/TAMARIND/SALWOOD.,Hard packing feet x inch recessed ends width x strip make wood ,,No,,,,,,,size 6 x 1 x 12 bonded 25 x 4 ,
"Center pivot liner for BLC Wagon RDSO Drg.No. CONTR 9404-S/5,Alt-8 Item No.3.",Center pivot liner BLC Wagon ,Drg.No CONTR 9404-,No,,Item No.3 ,,,Alt-8 ,,RDSO 5 ,
"Center pivot ring for BLC wagon Drg.No.CONTR 9404-S/5, Alt-8, Item No.4.",Center pivot ring BLC ,Drg.No.CONTR 9404-,No,,Item No.4 ,,,Alt-8 ,,wagon 5 ,
"Supply of conductor s Berth to Drg.No. WGSCWAC-6-1-029 of ICF. Note:-To be procured from RDSO Approved sources only as per vendor directory AM-M.7.1.1. of page 57 to 221, item No. 65. Note:- Offers of RDSO Approved sources only will be considered.",Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered ,Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,
Poly Grass mat soft type red colour of size : 0.61 meter x 15 meters per roll of make : Duro soft /Ultimate/Prestige. Specification : 1 PVC Synthaeic material 2 loop Dia 0.6 mm. 3 Thickness base 2 mm 4 Total Thickness 12 mm Approx plus or minus 2 mm .,Poly Grass mat type red colour meter meters per roll make Duro soft PVC Synthaeic loop 2 Total Thickness Approx plus 2 ,,No,,,,,,,size 0.61 x 15 Specification 1 material 2 Dia 0.6 0.6 3 base 2 2 4 Thickness 12 minus 2 ,
POH KIT FOR WSF MAKE 1/2 INCH SOFT SEATED CHECK VALVE CONSISTING OF 03 ITEMS. AS PER THE DETAILED PART LIST MENTIONED in the attachment.,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment ,,No,,,,,,,MAKE 1 MAKE 2 OF 03 ,
Toner cartridge suitable for canon LBP3500 Printer.,Toner cartridge suitable Printer ,,No,,,,,,,canon 3500 ,
Female elbow C of size : 1216 x 1/2 as per RDSO SK-K2029 NOTE NO.4 . Specification : 12mm inner Dia /16mm outer dia composite internal seal fitting similar to KITEC make .,Female elbow C per RDSO inner outer dia composite internal seal fitting similar KITEC make ,,No,,,,SK-K2029 ,,,size 1216 x 1 x 2 NOTE .4 Specification 12 Dia 16 ,
Hard wood packing size 6 feet x 1feet x 12 inch recessed both the ends bonded with 25 mm width x 4mm thickness M.S strip. make in wood : DHURSHANI/TAMARIND/SALWOOD.,Hard packing feet x inch recessed ends width x strip make wood ,,No,,,,,,,size 6 x 1 x 12 bonded 25 x 4 ,
Maintenance Kit for WSF Make EP Brake controller consisting of 20 items as per attachement.,Maintenance Kit WSF Make EP Brake controller items per attachement ,,No,,,,,,,consisting 20 ,
"Printer model : Epson LQ2190, 24 pins, A3 printer BI- Directional, 1 5 copies or equipment. specifications attached.",Printer model copies equipment specifications attached ,,No,,,,,,,Epson 2190 LQ2190 24 pins 3 Directional 1 1 5 ,
Aluminum flat face head rivet of size : 5 x 25 mm.,Aluminum flat face head rivet ,,No,,,,,,,size 5 x 25 ,
"Bogie Bolster Arrangement for AC Coaches to ICF Drg.No.:-WLRRM-0-4-003, Col-II. Alt-f/4.",Bogie Bolster Arrangement AC Coaches ,Drg.No -WLRRM-0-4-003 ,No,,,,,Alt-f/4 ,,,
Bare wheel Assembly - CW to NESCO part No:BM-414667 suitable for coil spring shot peening Machine Model:1036 RA 108 MAKE: NESCO.,Bare wheel Assembly CW NESCO part suitable coil spring shot peening MAKE NESCO ,,No,,,,,,,No 414667 Machine 1036 RA 108 ,
"MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV , TYPE F OF ED-6 WSF MAKE EP BRAKE CONTROLLER CONSISTING OF 23 ITEMS AS PER DETAILED PART LIST as per attachment.",MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment ,,No,,,,,,,OF 6 OF 23 ,
OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING OF 04 ITEMS AS PER DETAILED PART LIST attached.,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached ,,No,,,,,,,OF 04 ,
POH KIT FOR WSF MAKE 1/2 INCH SOFT SEATED CHECK VALVE CONSISTING OF 03 ITEMS. AS PER THE DETAILED PART LIST MENTIONED in the attachment.,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment ,,No,,,,,,,MAKE 1 MAKE 2 OF 03 ,
Piston ring Rear-Input shaft for Automatic Torque converter transmission to suit Godrej Part no.02009564 for the use of Godrej Fork Lift trucks Model GX-300D,Piston shaft Automatic Torque converter transmission suit Godrej use Godrej Fork Lift trucks ,,No,,,,,,,Part .02009564 Model 300 ,
"MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV , TYPE F OF ED-6 WSF MAKE EP BRAKE CONTROLLER CONSISTING OF 23 ITEMS AS PER DETAILED PART LIST as per attachment.",MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment ,,No,,,,,,,OF 6 OF 23 ,
HKE Variable speed spring pulley 8 dia 28mm Bore with 8x4x225 key to NESCO part No:B-5755 suitable for coil spring shot peening Machine Model: 1036 RA 108 MAKE:NESCO.,HKE Variable speed spring key NESCO part suitable coil spring shot peening Machine MAKE NESCO ,,No,,,,,,,pulley 8 dia 28 Bore 8 Bore 4 Bore 225 No 5755 Model 1036 RA 108 ,
"Tare tie rod gauge for B-Car BLC Wagon , size 900 mm, material tool steel to IS 3748/90, hardness - 50/55 HRC.",Tare tie rod BLC Wagon material tool steel HRC ,,No,,,,,,,size 900 IS 3748 IS 90 hardness 50 hardness 55 ,
"Tare tie rod gauge loaded condition of size - 920 mm, material tool steel to IS-3748/90, Hardness - 50/55 HRC",Tare tie rod gauge loaded condition material tool HRC ,,No,,,,,,,size 920 steel 3748 steel 90 Hardness 50 Hardness 55 ,
"Tare tie rod gauge Empty condition , size 890 mm, material tool steel to IS 3748/90, hardness - 50/55 HRC and supply with calibration certificate from NABL approved lab.",Tare tie rod gauge Empty condition material tool steel HRC supply calibration certificate NABL approved lab ,,No,,,,,,,size 890 IS 3748 IS 90 hardness 50 hardness 55 ,
"SUPPLY, STITCHING OF CURTAIN CLOTH EQUIVALENT TO GM MAKE COLLECTION BINGO DESIGN- DECCAN WITH HIGHLET MODEL AS PER SAMPLE AVAILABLE IN THE OFFICE OF SR.DME/CO-ORD/SC. WIDTH: 48 INCHES. Dimensions attached.",SUPPLY STITCHING CURTAIN CLOTH EQUIVALENT TO GM MAKE COLLECTION DECCAN WITH HIGHLET MODEL AS PER SAMPLE AVAILABLE IN THE OFFICE OF INCHES Dimensions attached ,,No,,,,,,,WIDTH 48 ,
Fabricated GI box of size : L : 610mm x W : 610 mm X H : 191 mm of thickness 0.6 mm. Material : GI. as per Drg No. CDO/HYB/PANTRY/001/2015. Drawing attached.,Fabricated GI box size x X Material GI per Drawing attached ,Drg No CDO/HYB/PANTRY/001/2015 ,Yes,,,,,,,L 610 W 610 H 191 thickness 0.6 ,
"LOCK PAD IRON GALVANISED WITH NON INTER CHANGEABLE DUPLICATE KEYS 4 LEVERS ON A STEEL RING SIZE 35MM CONFIRMING TO BIS: 15275/2003, TYPE II WITH RLY INITIALS SCR IN HINDI AND ENGLISH.",LOCK PAD IRON GALVANISED WITH NON INTER CHANGEABLE DUPLICATE LEVERS ON A STEEL RING CONFIRMING TO TYPE II WITH RLY INITIALS SCR IN HINDI AND ENGLISH ,,No,,,,,,,KEYS 4 SIZE 35 BIS 15275 BIS 2003 ,
"LOCK PAD IRON, GALVANISED WITH NON INTER CHANGEABLE DUPLICATE KEYS 4 LEVERS ON A STEEL RING SIZE 50MM, CONFIRMING TO BIS:15275/2003, TYPE II WITH RLY INITIALS SCR IN HINDI AND ENGLISH.",LOCK PAD IRON GALVANISED WITH NON INTER CHANGEABLE DUPLICATE LEVERS ON A STEEL RING CONFIRMING TYPE II WITH RLY INITIALS SCR IN HINDI AND ENGLISH ,,No,,,,,,,KEYS 4 SIZE 50 TO 15275 TO 2003 ,
"Tare tie rod gauge for A-Car BLC Wagon , size 910 mm, material tool steel to IS 3748/90, hardness - 50/55 HRC. Supply with calibration certificate from NABL approved lab.",Tare tie rod BLC Wagon material tool steel HRC Supply calibration certificate NABL approved lab ,,No,,,,,,,size 910 IS 3748 IS 90 hardness 50 hardness 55 ,
"SAB E dimension gauge suitable for BOX N size-555-600mm, material tool steel to IS 3748/90, Hardness - 50/55 HRC.",SAB E dimension gauge suitable BOX material tool steel HRC ,,No,,,,,,,N 555 N 600 IS 3748 IS 90 Hardness 50 Hardness 55 ,
SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED.,SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED ,,No,,,,,,,,
Flushing pipe suitable for push type flusher valve as per Sr.CDO/LTT Drg.No.M/C and W/LTT/14.,Flushing pipe suitable push type flusher valve ,Drg.No.M/C W/LTT/14 ,No,,,,,,,,
Manufacturing and supply of hatch for water tap for modular toilets as per Drg.No. CDO/HYB/MT-01.,Manufacturing supply hatch water tap modular toilets per ,Drg.No CDO/HYB/MT-01 ,No,,,,,,,,
Line interactive UPS with rated KVA.1.0 min VAH: 400 AVR for single phase AC 160V to 280V input and inbuilt SMF batteries.,Line interactive UPS min AVR single phase input inbuilt SMF batteries ,,No,,,,,,,rated .1 rated .0 VAH 400 AC 160 160V 280 ,
"Centre pivot pin with shackle lock,lock pin and washer for BLC wagon as per RDSO Drg No. CONTR-9404-S-8,Alt.1,Item Nos.2,3,4,5.",Centre pivot pin shackle lock lock pin washer BLC wagon per ,Drg No CONTR-9404-,No,,"Item Nos.2,3,4,5 ",,,Alt.1 ,,RDSO 8 ,
Toner cartridge suitable for CANON lbp6018 printer.,Toner cartridge suitable printer ,,No,,,,,,,CANON 6018 ,
"Spring loaded side bearer complete assembly to RDSO Drg No. CONTR-9404-s-15,Item - 1 to 8, Alt-12.",Spring loaded side bearer complete assembly ,Drg No CONTR-9404-,No,,,,,Alt-12 ,,RDSO 15 Item 1 1 8 ,
Hard wood packing size 2feet x 1 feet x 12 inch recessed both the ends bonded with 25mm width x 4mm thickness M.S. strip. Make in wood. DHURSHANI/TAMARIND/SALWOOD.,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 12 bonded 25 x 4 ,
Hardwood packing size 2 feet x 1 feet x 2 inch recessed both the ends bonded with 25mm width x 4mm thickness M.S strip. make in wood: DHURSHANI/TAMARIND/SALWOOD.,Hardwood packing feet feet x 2 inch recessed ends width x strip make ,,No,,,,,,,size 2 x 1 x 2 bonded 25 x 4 ,
Hard wood packing size 3feet x 1 feet x 12 inch recessed both the ends bonded with 25mm width x 4mm thickness M.S. strip. Make in wood. DHURSHANI/TAMARIND/SALWOOD.,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 3 x 1 x 12 bonded 25 x 4 ,
"HDPE pipe conforming to IS 4984 with latest Amendments as per the following specifications. Material Grade : PE 100, Pressure rating: 6 Kg/cm square PN-6 , Outer dia of the pipe : 75mm, Wall thickness shall be from 3.5mm to 4.1 mm.",HDPE conforming latest Amendments per following specifications Material Grade Pressure Outer dia pipe Wall thickness ,,No,,,,,,,IS 4984 PE 100 rating 6 square 6 pipe 75 shall 3.5 3.5mm 4.1 ,
"BOGIE BOLSTER ARRANGEMENT FOR DEMU 700hp COACHES TO ICF DRG NO.DMU/DPC-0-4-001,COL-I, ALT-m/8. Note:- offers of RCF/ICF Approved sources only will be considered.",BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC-0-4-001 ,No,,,,,ALT-m/8 ,,DEMU 700 ,
VINYLE STICKERS PASTED ON ACRYLIC SHEET Transparent IN COCHES OF SIZE : 210 X 310 MM WITH 3 MM THICKNESS AS PER SPECIFICATION ATTACHED.,VINYLE STICKERS PASTED ON ACRYLIC SHEET Transparent IN COCHES OF MM MM THICKNESS AS PER SPECIFICATION ATTACHED ,,No,,,,,,,SIZE 210 X 310 WITH 3 ,
Combined set pf tools for coaching stock maintenance. specification attached.,Combined set pf tools coaching stock maintenance specification attached ,,No,,,,,,,,
POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE OF WSF MAKE EP BRAKE VALVE CONSISTING OF 12 ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF.,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF ,,No,,,,,,,OF 12 ,
Maintenance Kit for WSF Make EP Brake controller consisting of 20 items as per attachement.,Maintenance Kit WSF Make EP Brake controller items per attachement ,,No,,,,,,,consisting 20 ,
"Air Portion complete consisting of self lapping cylinder, Poppet valve Group of Wasf Make EP Brake controller type D74888/4, Part No. D.74889/1.",Air Portion complete consisting self lapping cylinder Poppet valve Group Wasf Make EP Brake controller Part ,,No,,,,,,,type 74888 type 4 No .74889 No 1 ,
"Line interactive UPS with surge protection and inbuilt SMF batteries input voltage range : 150 to 280V equivalent to model: APC 1100 VA Capacity : 1.1 KVA, Make : APC or similar. warranty : 2 years. min .",Line interactive UPS surge protection inbuilt SMF batteries input voltage equivalent model VA KVA Make APC similar years min ,,No,,,,,,,range 150 150 280 APC 1100 Capacity 1.1 warranty 2 ,
POH KIT FOR WSF MAKE 1/2 INCH SOFT SEATED CHECK VALVE CONSISTING OF 03 ITEMS. AS PER THE DETAILED PART LIST MENTIONED in the attachment.,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment ,,No,,,,,,,MAKE 1 MAKE 2 OF 03 ,
Toner for photocopier machine make : KYOCERA Model : TASK alfa 2201. part Code : TK 4109.,Toner photocopier machine make KYOCERA Model TApart Code ,,No,,,,SK alfa 2201. ,,,TK 4109 ,
Hard wood packing size 2feet x 1 feet x 1 inch recessed both the ends bonded with 25mm width x 4mm thickness M.S. strip. Make in wood. DHURSHANI/TAMARIND/SALWOOD.,Hard packing feet x 1 inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 1 bonded 25 x 4 ,
"Flex ball Cable Short to Faiveley Part No: 0267.06.00.00 Drg No.A3 040.0371 suitable for Hand Brake of LHB power car. Make:FTIL,KBI or similar. Note: Firm should be submit performance certificate issued by Railway competent Authority for the subject Material.",Flex ball Cable Short Faiveley Part suitable Hand Brake LHB power car Make FTIL KBI similar Note Firm submit performance certificate issued Railway competent Authority subject Material ,Drg No.A3 040.0371 ,No,,,,,,,No 0267.06 No .00 No .00 ,
GASKET FOR INLET HATCH ITEM NO.14 AS PER RDSO DRAWING NO. WD/07054/S-13,GASKET FOR INLET HATCH AS PER RDSO DRAWING ,,Yes,,ITEM NO.14 ,,,,,NO 07054 NO 13 ,
"WIDE JAW ADAPTER FOR LCCF20 C - 96 CASNUB BOGIE DRG.NO.CONTR 9404-S/2,ITEM NO.6,ALT.7 OR LATEST.",WIDE JAW ADAPTER CASNUB OR LATEST ,DRG.NO.CONTR 9404-,No,,ITEM NO.6 ,,,ALT.7 ,,FOR 20 C 96 BOGIE 2 ,
SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED.,SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED ,,No,,,,,,,,
Manufacturing and supply of hatch for water tap for modular toilets as per Drg.No. CDO/HYB/MT-01.,Manufacturing supply hatch water tap modular toilets per ,Drg.No CDO/HYB/MT-01 ,No,,,,,,,,
Wearing plate for side bearer to Drg.No. T-0-5-648 or latest.,Wearing plate side bearer latest ,Drg.No T-0-5-648 ,No,,,,,,,,
BRACKET FOR ANCHOR LINK ON BOOGIE FRAME TO ICF DRG NO. T-0-3-635.COL II.AIT-I Small L /16,BRACKET FOR ANCHOR LINK ON BOOGIE FRAME TO ICF Small ,DRG NO T-0-3-635.,No,,,,,,,L 16 ,
"Speed Reduction Gear Box to ELECON Model:NU-U/R,Size:4 Ratio:50/1 Make:ELECON/RADICON.",Speed Reduction Gear Box ELECON ,,No,,,,,,,NU-U/R 4 Size:4 50 Size:4 1 ,
Hard wood packing size 2feet x 1 feet x 4 inch recessed both the ends bonded with 25mm width x 4mm thickness M.S. strip. Make in wood. DHURSHANI/TAMARIND/SALWOOD.,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 4 bonded 25 x 4 ,
"Air Portion complete consisting of self lapping cylinder, Poppet valve Group of Wasf Make EP Brake controller type D74888/4, Part No. D.74889/1.",Air Portion complete consisting self lapping cylinder Poppet valve Group Wasf Make EP Brake controller Part ,,No,,,,,,,type 74888 type 4 No .74889 No 1 ,
Hard wood packing size 2feet x 1 feet x 4 inch recessed both the ends bonded with 25mm width x 4mm thickness M.S. strip. Make in wood. DHURSHANI/TAMARIND/SALWOOD.,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 4 bonded 25 x 4 ,
ISI marked dry and wet bulb type psychrometer as per IS : 5725/1970: Grade A .,ISI marked dry wet bulb type psychrometer per Grade A ,,No,,,,,,,IS 5725 IS 1970 ,
Hard wood packing size 6 feet x 1feet x 12 inch recessed both the ends bonded with 25 mm width x 4mm thickness M.S strip. make in wood : DHURSHANI/TAMARIND/SALWOOD.,Hard packing feet x inch recessed ends width x strip make wood ,,No,,,,,,,size 6 x 1 x 12 bonded 25 x 4 ,
Hardwood packing size 2 feet x 1 feet x 2 inch recessed both the ends bonded with 25mm width x 4mm thickness M.S strip. make in wood: DHURSHANI/TAMARIND/SALWOOD.,Hardwood packing feet feet x 2 inch recessed ends width x strip make ,,No,,,,,,,size 2 x 1 x 2 bonded 25 x 4 ,
Solenoid valve for chicago pneumatic air compressor. OEM part no. 1903221212 ,Solenoid valve chicago pneumatic air compressor OEM ,,No,,,,,,,part 1903221212 ,
Fabricated GI box of size : L : 610mm x W : 610 mm X H : 191 mm of thickness 0.6 mm. Material : GI. as per Drg No. CDO/HYB/PANTRY/001/2015. Drawing attached.,Fabricated GI box size x X Material GI per Drawing attached ,Drg No CDO/HYB/PANTRY/001/2015 ,Yes,,,,,,,L 610 W 610 H 191 thickness 0.6 ,
"Speed Reduction Gear Box to ELECON Model No:NU-UR,Size:3 inches, Ratio:30/1 MAKE: ELECON/RADICON.",Speed Reduction Gear Box ELECON Model ,,No,,,,,,,NU-UR 3 inches 30 inches 1 ,
"MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV , TYPE F OF ED-6 WSF MAKE EP BRAKE CONTROLLER CONSISTING OF 23 ITEMS AS PER DETAILED PART LIST as per attachment.",MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment ,,No,,,,,,,OF 6 OF 23 ,
OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING OF 04 ITEMS AS PER DETAILED PART LIST attached.,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached ,,No,,,,,,,OF 04 ,
SET OF SPARES FOR ASKA MAKE TOWER LIGHTS. SPECIFICATION ATTACHED.,SET OF SPARES FOR ASKA MAKE TOWER LIGHTS SPECIFICATION ATTACHED ,,No,,,,,,,,
SET OF BRASS BODY CHROME PLATED SINGLE LEVER CONCEALED WALL MIXER FOR BATH/SHOWER FOR HOT and COLD WATER MIXING WITH MECHANISM.ONE SET IS HAVING 02 ITEMS. 1.WALL FLANGE AS PER JAGUAR MODEL NO. ORM-10079K OR KOHLER MODEL NO.K 16316 IN-4FP-CP .QTY : 1 NO.2. MECHANISM AS PER JAGUAR MODEL NO. ALD079 OR KOHLER K-8821N-CP QTY- 01 NO.,SET OF BRASS BODY CHROME PLATED SINGLE LEVER CONCEALED WALL MIXER FOR HOT COLD WATER MIXING SET IS FLANGE AS PER JAGUAR OR MODEL MECHANISM AS PER JAGUAR MODEL NO OR KOHLER NO ,,No,,,,,,,HAVING 02 ITEMS 1 NO 10079 NO.K 16316 16316 4 IN-4FP-CP .2 NO 079 KOHLER 8821 QTY- 01 ,QTY 1 
Hard wood packing size 2feet x 1 feet x 12 inch recessed both the ends bonded with 25mm width x 4mm thickness M.S. strip. Make in wood. DHURSHANI/TAMARIND/SALWOOD.,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 12 bonded 25 x 4 ,
"Nut lock for BOBRN wagon to Drg.No.WD-92081-s-57, Alt-10,item-12.",Nut lock BOBRN ,Drg.No.WD-92081-,No,,,,,Alt-10 ,,wagon 57 s-57 12 ,
Hard wood packing size 3feet x 1 feet x 12 inch recessed both the ends bonded with 25mm width x 4mm thickness M.S. strip. Make in wood. DHURSHANI/TAMARIND/SALWOOD.,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 3 x 1 x 12 bonded 25 x 4 ,
Hard wood packing size 2feet x 1 feet x 1 inch recessed both the ends bonded with 25mm width x 4mm thickness M.S. strip. Make in wood. DHURSHANI/TAMARIND/SALWOOD.,Hard packing feet x 1 inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 1 bonded 25 x 4 ,
"Set of gas cutting torch length 44 inch,one set hose coupling nut and nipple of size5/16 inch and one set 5/64 inches two seat cutting nozzle made of forged brass as per ISI:7653/1975 and ISI Marked . Make : ESAB/SWC/MESSERS.",Set gas cutting torch inch one hose coupling nut inch one set inches two seat cutting nozzle made forged brass ISI Marked ,,No,,,,,,,length 44 nipple 5 nipple 16 set 5 set 64 per 7653 per 1975 ,
Nibbler machine similar to BOSCH make model no. GNA 3.5 as per the specification. make : BOSCH or HITACHI or MAKITA. offers received from OEM or its authorized dealers only will be considered for acceptance.,Nibbler machine similar BOSCH make model per specification make BOSCH HITACHI MAKITA offers received OEM authorized dealers considered acceptance ,,No,,,,,,,GNA 3.5 ,
GASKET FOR INLET HATCH ITEM NO.14 AS PER RDSO DRAWING NO. WD/07054/S-13,GASKET FOR INLET HATCH AS PER RDSO DRAWING ,,Yes,,ITEM NO.14 ,,,,,NO 07054 NO 13 ,
Rake testing rig Similar to escorts Drg.No. 3KB 3032 Drawing attached.,Rake testing rig Similar escorts Drawing attached ,Drg.No 3,Yes,,,,,,,KB 3032 ,
Single car testing rig similar to Escorts Drawing no. 3KB 1944. Drawing attached.,Single car testing rig similar Escorts Drawing attached ,,Yes,,,,,,,Drawing 3 3KB 1944 ,
"BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF DRG NO. DMU/DPC-0-3-009,COL-I,ALT-F. Note: RCF/ICF approved sources only will be concedered.",BOGIE FRAME ARRANGEMENT FOR COACHES TO BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I approved sources concedered ,DRG NO DMU/DPC-0-3-009 ,No,,,,,,,DEMU 700 DEMU 700 ,
Induction Heater for Axle Box As per Enclosed Specification ,Induction Heater Axle Box As per Enclosed Specification ,,No,,,,,,,,
Nibbler machine similar to BOSCH make model no .GNA 2.5 as per the specification : Make : BOSCH or HITACHI or MAKITA only.,Nibbler machine similar BOSCH make per specification Make BOSCH HITACHI MAKITA ,,No,,,,,,,.GNA 2.5 ,
"Manufacturing Assembling and supply of junction boxes as per the enclosed Drawing No. WB/SNF/02/2016. Specification : 1.Junction box shall be prepared with MS sheet of 18 gauge to the size of 300 x 200 x 200mm with front side door provided with hinges The box shall be provided with three iron strips to enable to fix hylam sheet of size 170 x 80 x 12mm thick. Hylam sheet shall be fixed with two female adaptors to suit 120mm square area cables with a withstanding capacity of 800amps current of make : well spring, ador fontech, Panasonic or ESAB only. 2.bottom of the box is to welded with one no. of MS pipe of 100mm in diameter and 1000mm long. 3. Entire box shall be painted with primer anti- corrosive red oxide and finishing with silver paint.",Manufacturing Assembling supply junction boxes per enclosed Drawing box shall prepared MS gauge x front side door provided hinges The box shall provided three iron strips enable fix hylam sheet size x x thick Hylam sheet shall fixed two female adaptors square area cables withstanding current make well spring ador fontech Panasonic box welded one MS Entire box shall painted corrosive red oxide finishing silver paint ,,Yes,,,,,,,No 02 No 2016 Specification 1 sheet 18 size 300 x 200 x 200 size 170 x 80 x 12 suit 120 capacity 800 ESAB 2 pipe 100 diameter 1000 long 3 ,
"Manufacturing Assembling and supply of junction boxes as per the enclosed Drawing No. WB/SNF/01/2016. Specifications : 1.Junction box shall be prepared with MS sheet of 18 gauge to the size of 600 x 200 x 200mm with front side door provided with hinges The box shall be provided with three iron strips to enable to fix hylam sheet of size 500 x 80 x 12mm thick. Hylam sheet shall be fixed with two female adaptors to suit 120mm square area cables with a withstanding capacity of 800amps current of make : well spring, ador fontech, Panasonic or ESAB only. 2.bottom of the box is to welded with MS pipes of 4 inches in diameter and 1000mm long. 3. Entire box shall be painted with primer anti- corrosive red oxide and finishing with silver paint.",Manufacturing Assembling supply junction boxes per enclosed Drawing box shall prepared MS gauge x front side door provided hinges The box shall provided three iron strips enable fix hylam sheet size x x thick Hylam sheet shall fixed two female adaptors square area cables withstanding current make well spring ador fontech Panasonic box welded MS inches Entire box shall painted corrosive red oxide finishing silver paint ,,Yes,,,,,,,No 01 No 2016 Specifications 1 sheet 18 size 600 x 200 x 200 size 500 x 80 x 12 suit 120 capacity 800 ESAB 2 pipes 4 diameter 1000 long 3 ,
"RUBBER KIT FOR ESCORTS MAKE EP BRAKE VALVE SUB ASSEMBLIES,PRESSURE LIMITING VALVE, TRIPPLE VALVE AND STABILIZING VALVE CONSISTING OF 23 ITEMS AS PER PART LIST ATTACHED.",RUBBER KIT FOR ESCORTS MAKE EP BRAKE VALVE SUB ASSEMBLIES PRESSURE LIMITING VALVE TRIPPLE VALVE AND STABILIZING VALVE CONSISTING ITEMS AS PER PART LIST ATTACHED ,,No,,,,,,,OF 23 ,
"Air Portion complete consisting of self lapping cylinder, Poppet valve Group of Wasf Make EP Brake controller type D74888/4, Part No. D.74889/1.",Air Portion complete consisting self lapping cylinder Poppet valve Group Wasf Make EP Brake controller Part ,,No,,,,,,,type 74888 type 4 No .74889 No 1 ,
"MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV , TYPE F OF ED-6 WSF MAKE EP BRAKE CONTROLLER CONSISTING OF 23 ITEMS AS PER DETAILED PART LIST as per attachment.",MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment ,,No,,,,,,,OF 6 OF 23 ,
