SPEC_NUMBER,SK_NUMBER,AMENDMENT_NO,DRG._NUMBER,QUANTITY,ITEM_NUMBER,ALT_NUMBER,REV_NUMBER,DRAWING_ATTACHED,OTHER_SPECIFICATION,REST_DATA
,,,,,,,,No,JACKS 35 SPECIFICATIONS 1 CAPACITY 35 TON 2 LIFT 125 125 130 MM 3 HEIGHT 250 HEIGHT 260 MM 4 SIZE 210 SIZE 220 X 200 200 210 MM 5 DIA 75 MM 80 EN 9 TO 50 MICRONS 6 DIA 140 DIA 150 EN- 19 BE 8 H8 7 BE 700 BAR 8 IS 4552 4552 2 2 1993 ,BOTTLE LIFTING 35 TON CLOSED MM BASE MM MM RAM MM MM SHOULD MAD HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP BODY DIA SHOULD BE MADE OF HIGH GRADE ALLOY STEEL CYLINDER FINISHING SHOULD BE PRESSURE SHOULD BE OPERATION BY HAND ALL OTHER PARAMETERS ARE AS PER 2 JACKS SHALL BE MAKES ONLY 
,,,,,,,,No,JACKS 15 SPECIFICATIONS 1 CAPACITY 15 ACTING 2 LIFT 125 125 130 MM 3 HEIGHT 250 HEIGHT 260 MM 4 SIZE 160 SIZE 180 X 160 160 180 MM 5 DIA 55 MM 65 EN 9 TO 50 MICRONS 6 DIA 100 DIA 120 EN- 19 BE 8 H8 7 BE 600 BE 700 BAR 8 IS 4552 4552 2 2 1993 ,HYDRAULIC TON LIFTING 15 T DOUBLE CLOSED MM BASE MM MM RAM MM MM SHOULD MAD HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP BODY DIA SHOULD BE MADE OF HIGH GRADE ALLOY STEEL CYLINDER FINISHING SHOULD BE PRESSURE SHOULD BE OPERATION BY HAND ALL OTHER PARAMETERS ARE AS PER 2 JACKS SHALL BE MAKES ONLY 
,,,DRG.No.3,,,,,No,KB 1944 ,SINGLE WAGON TEST RIG AS PER AND OTHER SPECIFICATION ATTACHED 
,,,,,,,,No,specifications 1 truck 2 put 12 capacity 0 0 50 DC 2 batteries 12 voltage 230 voltage 250 phase 50 Hzs 5 5 10 duty 3 3.ammeter 0 3.ammeter 50 meter 0 meter 250 0-250v 4 marked 5 ,Battery charger The charger suitable charging provided fork lister Charging A DC batteries volts input voltage single 50 A heavy volt ammeter volt meters shall DC ISI 
,,,DRG No.3,,,,,No,KB 1944 ,SINGLE WAGON TEST AS PER AND OTHER SPECIFICATION ATTACHED 
,SK.No.1210.,,,,"item no.1,2,3 4 ",,,Yes,,Hydrants securing arrangement watering coaches per OF DRAWING enclosed 
,,,,,,,,No,installation 24 layer 2 switch 02 ports 10 ports 100 ports 1000 ,Supply Port fast ethernet manageable Gigabit ethernet combo Mbps two suitable SFP slots modules support POE 
,,,,,,,,No,dia 5 x 40 IS 549 ,Split Pin supporting device main support pin 
,,,,,,,,No,No 2609120356 GBM 10 RE 3601 3601 735 ,Brush Plate BOSCH Part Model No Make BOSCH Equivalent Item procured authorised dealers tools equipment Note One sample got approved bulk supply 
,,,,,,,,No,,Hose clips Hose Pipe Esab make Make Esab ador fontech equivalent 
,,,,,,,,No,consisting 12 ,Kit Relay items Distributor Valves KE Type per part list Approved sources Distributor valve need quaote Material Inspection RDSO 
,,,Drg No BHEL Drg.No 15801130009,,,,,No,Assembly 22 Car 1 P1 22 Fig.Ref.CO22.CS.No.CCS 1263 ,Cylinder Cap Power Contractor Power dealers quote 
,Sketch No 0643 ,,Drg.No SCR/C W/Sketch No 0643 Component powder coated sm,,,,,No,,Turn Over Catch single seat back rest cum berth LGD oke grey shade 
,SK-3-6-4-035 ,,Drg.No ICF/SK-3-6-4-035 C,,,Alt-Nil ,,No,,Litter Bin Below Outside wash 
,SK-3-6-4-035 ,,Drg.No ICF/SK-3-6-4-035 C,,,Alt-Nil ,,No,,Litter Bin Below Outside wash 
,,,,,,,,No,BLUE 50 L 50 Note 1 passed 2 ,Industrial Boiler Suit Buttons Full sleeves Colour NAVY percent 50 percent Make MIDAS ROTECTOR UDYOGI NFC BRIGHT APPAREL Offers mentioning make makes Offers OEM authorised dealers enclosing valid dealership certificate considered 
,SK-3-5-263 ,,,,item No.2 ,,,Yes,,Nylon washer drawing attached 
,SK-3-6-3-137 ,,Drg.NO ICF/SK-3-6-3-137,,,alt-a ,,No,,
,SK-5-4-274 ,,Drg.No ICF/SK-5-4-274 Al,,,,,No,Item 2 ,Aluminium inner frame double sealed window AC coaches 
,SK-5-4-274 ,,Drg.No ICF/SK-5-4-274 Al,,,,,No,Item 2 ,Aluminium inner frame double sealed window AC coaches 
,,,Drg No ICF/STD-6-3-018 ,,,,,No,,Toilet door rubber stopper per 
,,,Drg.No ICF/STD-3-5-066 ,,,Alt-a Note -To procured ICF Approved vendors ,,No,Reservoir 150 ,Stainless Steel Air Ltrs Coaches 
,,,DrgNo CC 53105 ,,,Alt.C ,,No,,Holding Frame Sealed Door Window Arrangement RCF 
,,,,,,,,No,SIZE 25 VALVE 25 25 1 IS 6912 FLB 2 IS 1367 1367 3 IS 1367 1367 4 IS 2062 2062 5 IS 6912 FLB 6 BS 12086 BS 1 EN:12086-1 7 IS 6912 Gr.FLB 8 BSEN 12086 BSEN 1 12086-1 9 IS 6912 MINIMUM 6 ,BRASS BALL OF SCREWED FEMALE ENDS LEVER OPERATED HB AND LEADER ONLY SPECIFICATION FOR BRASS BALL VALVE NAME OF THE PART STEM MATERIAL FORGED BRASS SPECIFICATION Gr NAME OF THE PART NUT MATERIAL CARBON STEEL SPECIFICATION IS NAME OF THE PART WASHER MATERIAL CARBON STEEL SPECIFICATION IS 1367 NAME OF THE PART LEVER MATERIAL CARBON STEEL SPECIFICATION IS NAME THE PART BODY IS 6912 Gr FLB NAME OF THE PART GLAND PACKING MATERIAL PTFE SPECIFICATION NAME OF THE PART BALL MATERIAL FORGED BRASS SPECIFICATION IS 6912 NAME OF THE PART BODY SEAT RING MATERIAL PTFE SPECIFICATION OF THE PART BONNET MATERIAL FORGED BRASS SPECIFICATION IS WARRANTY 6 MONTHS 
,,,,,,,,No,MOP 50 PART .559260002 ,WET DRY MANUAL AND ADJUSTABLE TELESCOPIC POLE HANDLE ALUMINIUM POWDER COATED WITH BLENDED SYNTHETIC AND COTTON YARN INSET MAKE ROOTS EZEE CLEAN SIMILAR AS PER SPECIFICATION ATTACHED 
,,,,,,,,No,No 84072 No 4616 ,Connection Block Rod Side complete With Quick Coupler Ref 
,,,Drg.No.T-0-7-603 ,,,Alt-A/15 ,,No,Link 1 ,Anchor 
,SKID SPECIFICATION ATTACHED ,,,,,,,No,OF 50 BRAND 7 ,SUPPLY INSTALLATION COMMISSIONING RO PLANT OF LPH SIMILAR TO ROPURE STAGE PURIFICATION RO WITH UV SYSTEMS IN SS 
,,,DRG NO LOAD SENSING DEVICE III 3,,ITEM NO 3 2 ,,,Yes,OF 5 NO 05 NO 01 NO 7 NO 01 NO 9 NO 3 NO 12 NO 01 EB 6280 ,OVERHAULING KIT ITEMS NOS ITEM NO ITEM NO NO ITEM NO NO ITEM NO NO FOR ESCORTS FOR LOAD SENSING DEVICE AS PER DRAWING ENCLOSED 
,SK- 001 ,,,,,,,Yes,,Pad lock one time lock made hard plastic moulded rectangular CUBOID internal permanent locking arrangement steel rod per drawing 
,,,DRG NO LOAD SENSING DEVICE III 3,,ITEM NO 3 2 ,,,Yes,OF 5 NO 05 NO 01 NO 7 NO 01 NO 9 NO 3 NO 12 NO 01 EB 6280 ,OVERHAULING KIT ITEMS NOS ITEM NO ITEM NO NO ITEM NO NO ITEM NO NO FOR ESCORTS FOR LOAD SENSING DEVICE AS PER DRAWING ENCLOSED 
,,,,,,,,No,required 200 IS 2373 IS 1981 2373/1981 1 required 2 required 3 type 4 Required 5 required 6 required 7 ,cast Iron strainer T Type flanged ends Kranthi make similar As per Vane wheel water meter Provision locking required Cyclometer type combination pointer counter type Frost protection Strainer required Wiper required Dry dial type water meter required 
,,,Drg.No 14391441002,,,,,No,Shield 4601 BHEL 00 ,Axle per suitable DEMU car dealers quote 
,,,Drg.No 2580130024,,,,,No,assembly 22 BHEL 01 ,Shunt Clamp per suitable power Car dealers quote 
,,,Drg.no 34391741001,,,,,No,TM 4601 BHEL 1 ,Inspection cover per use DEMU Car dealers quote 
,,,Drg No CDO/HYB/PANTRY/001/2015 ,,,,,No,L 610 W 610 H 191 thickness 0.6 ,Fabricated GI box size x X Material GI per 
,,,,,,,,No,fire 3.7 fire 2200 standard 18650 ,Rechargeable batteries LED LAMPS Specifications National Ultra 
,SKEL-3943 ,,Drg SKEL-3943 R,,Item No 1 ,Alternator per RDSO ev.1 2012 ,,No,size 75 x 12 Specification 1089 Specification 73 SL 42 Suspending 25 ,GI Split cotton Pin per IS suitable use Suspension Hanger Pin KW Brushless 
,,,,,,alternator use Godraj FLT Model No GX-300,,No,,Carbon Brushes D LUCAS-TVS 
,,,,,,,,No,wheel 200 wheel 52 Specifications 1 Wheel 200 x 50 width 2 Load 205 kgs 3 Ovrall 232 height:232 4 size 130 size 105 130x105 5 center 105 center 80 105x80 6 dia 11 dia 13.5 11x13.5 7 Weight 4 kgs 5 Approx 8 ,Pressed steel swivel castor solid cushioned tyred wheel plate Bolt Hole hole dia kgs 5 kgs Double Ball race Swivel Protected dust guard fitted solid cushion tyred wheels roller bearings 
,,,,,,,,No,MODEL 353 MODEL 452 ,DEVELOPER FOR PHOTO COPY MACHINE MAKE TOSHIBA 
,,,,Qty per set 1 ,,,,No,Range 0 0 16 0 2 Dia 100 Fitting 3 Fitting 8 Qty/Set 6 Nos 2 Range 0 0 16 16 2 Dia 150 Fitting 1 Fitting 2 Qty/Set 6 ,Pressure Gauge Set Pneumatic Pressure Gagues Detailed Description Pneumatic Pressure Guge Dial End BSP Connecton Bottom Material Stainless Steel Calibration Certificate enclosed along supplied material Make Certificate enclosed pressure Pneumatic Pressure Gauge Range 0 Dial Dia End Fitting BSP Connection Bottom Material Stainless Steel Calibration Certificate enclosed alongwith supplied material Make Note Calibration Certificate enclosed pressure Qty/Set 6 Nos Make WIKA/H.GURU/WARREE 
,,,,,,,,No,CARTRIDGE 200 THAN 2600 SP 200 ,BLACK HIGH YIELD RATING NOT LESS PAGES SUITABLE TO WORK ON RICOH LASER PRINTER 
,,,,Qty/Kit 04 ,,,Qty/Kit 04 ,No,Descrption 1 Drum 250 suitable 15 Nos 2 Drum 200 suitable 7.5 Qty/Kit 04 ,Set Brake Cast Iron EOT Detailed Brake Drum dia Ton EOT Cranes Brake Drum dia suitable Ton EOT Cranes Nos Note OEMS authorized dealer quote along authorization certificate Firms mention item shall enclose relevant technical leaflet 
,,,Drg MI005986 ,,,alt-b Note -Offers sources approved RCF considered ,,No,,Opening Mechanism Ball vale Bio toilet retention tank To RCF 
specn.No.IRS.S.96/2000 ,,,,,,,,No,Converter 24 input 18 input 36 put 1 ,
,,,DRG NO T. 0 1- 644 ,,,,,No,PLATE 4 X 110 X 196 ,STEEL PACKING X ON BOGIE FRAME FOR CROWN CLEARANCE AS PER IRS FOR USE ON COACHING STOCK 
,,,DRG NO T. 0 1- 644 ,,,,,No,PLATE 4 X 110 X 196 ,STEEL PACKING X ON BOGIE FRAME FOR CROWN CLEARANCE AS PER IRS FOR USE ON COACHING STOCK 
,,,,,,,,No,Later 7 7 1 7 2 IS 13422 thickness 0.10 ,Disposable hand gloves MAKE Nulife similar 
,,,,,,,,No,,Hand Held Wireless micro phone System Specification Attached 
,SK 722 ,,,,,,,No,,Compression Spring Escort Part No Make ESCORTS Only 
,SK 711 ,,,,,,,No,,Wear Plate Escorts Part No Make Escorts 
,,,Drg No C W-99 ,,,,,No,,Back Rest cum berth holding bracket CN Coaches per 
,,,,,,,,Yes,steel.size 5 x 4 feet 3 No 2015 SCDN/MECH/2015/RR/RACK 1 ,Storage unit feet shelves per drawing DRAWING ATTACHED 
,SK-5-4-274 ,,Drg.No ICF/SK-5-4-274 Alt,,,,,No,Item 2 ,Aluminium inner frame double sealed window AC coaches 
,,,,,,Alt.b Note Offers RCF Approved sources considered ,,Yes,No 005328 MI005328 2 ,Chlorine Jacket Chloring RCF Drawing 
,,,,,,,,No,size 30 X 30 inches 40 ,Black poly bags 30 inches microns thickness use DUST BINS 
,SK-5-4-263 ,,Drg.No ICF/SK-5-4-263 standard,,,,,No,length 20 ,Rubber Profile Emergency Openable window Mtrs 
,,,DrgNo CC 53105 ,,,Alt.C ,,No,,Holding Frame Sealed Door Window Arrangement RCF 
,SK-10-2-421 ,,Drg.No 3,,,Alt-06 ,Rev No.03 ,No,ICF/SK-10-2-421 1 KB 165 IB 70378 IB 2 70378/2 1 1A 71395 1A 3 Spec 10 Spec 2 Spec 421 ,Escorts WSF Drg No equivalent confirming ICF 
,SK-10-2-421 ,,Drg.No 3,,,Alt-06 ,Rev No.03 ,No,considered 1 KB 165 IB 70378 IB 2 70378/2 1 1A 71395 1A 3 Spec 10 Spec 2 Spec 421 ,Escorts WSF Drg No equivalent confirming ICF ICF Approved sources 
,SK-10-2-421 ,,Drg.No 3,,,Alt-06 ,Rev No 03 ,No,considered 1 KB 165 IB 70378 IB 1 IA 71395 IA 4 Spec 10 Spec 2 Spec 421 ,Escorts equivalent confirming ICF Note Offers ICF approved sources 
,,,,,,,,No,specifications 1 truck 2 put 12 capacity 0 0 50 DC 2 batteries 12 voltage 230 voltage 250 phase 50 Hzs 5 5 10 duty 3 3.ammeter 0 3.ammeter 50 meter 0 meter 250 0-250v 4 marked 5 ,Battery charger The charger suitable charging provided fork lister Carging A DC batteries volts input voltage single 50 A heavy volt ammeter volt meters shall DC ISI 
,,,DRG No.3,,,,,No,KB 1944 ,SINGLE WAGON TEST AS PER AND OTHER SPECIFICATION ATTACHED 
,,,,,,,,No,JACKS 15 SPECIFICATIONS 1 CAPACITY 15 ACTING 2 LIFT 125 125 130 MM 3 HEIGHT 250 HEIGHT 260 MM 4 SIZE 160 SIZE 180 X 160 160 180 MM 5 DIA 55 MM 65 EN 9 TO 50 MIRCONS 6 DIA 100 DIA 120 EN- 19 BE 8 H8 7 BE 600 BE 700 BAR 8 IS 4552 4552 2 2 1993 ,HYDRAULIC TON LIFTING 15 T DOUBLE CLOSED MM BASE MM MM RAM MM MM SHOULD MAD HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP BODY DIA SHOULD BE MADE OF HIGH GRADDE ALLOY STEEL CYLINDER FINISHING SHOULD BE PRESSURE SHOULD BE OPERATION BY NHAND ALL OTHER PARAMETERS ARE AS PER 2 
,,,,,,,,No,,WELDING MACHINES SPECIFICATION ATTACHED 
,,,,,,,,No,JACKS 35 SPECIFICATIONS 1 CAPACITY 35 TON 2 LIFT 125 125 130 MM 3 HEIGHT 250 HEIGHT 260 MM 4 SIZE 210 SIZE 220 X 200 200 210 MM 5 DIA 75 MM 80 EN 9 TO 50 MIRCONS 6 DIA 140 DIA 150 EN- 19 BE 8 H8 7 BE 700 BAR 8 IS 4552 4552 2 2 1993 ,BOTTLE LIFTING 35 TON CLOSED MM BASE MM MM RAM MM MM SHOULD MAD HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP BODY DIA SHOULD BE MADE OF HIGH GRADDE ALLOY STEEL CYLINDER FINISHING SHOULD BE PRESSURE SHOULD BE OPERATION BY NHAND ALL OTHER PARAMETERS ARE AS PER 2 
,,,DRG.No.3,,,,,No,KB 1944 ,SINGLE WAGON TEST RIG AS PER AND OTHER SPECIFICATION ATTACHED 
,Sketch CG-K6070 ,,,,Item No 2 ,,,Yes,No.RDSO/ 15 ,Gravity type spring loaded water tap 
,,,,,,,,No,PART .546102000 ,QUICK RELEASE MECHANISM SUITABLE FOR FAIVELY MAKE PARKING BRAKE ARRANGEMENT TO FTRTIL 
,,,,,,,,No,HEAD 4901 ,HP PRINT CYAN MAGENTA 
,,,,,,,,No,RH 30 WIDIA 6939318620 NO 175 NO 32 NO 3223 NO 30 ,TURNING CASSETTE MM MAKE OR SANDVIK PART 
,sket Part No.731,,,Qty 02,,,,No,consisting 06 herein 1 Part .521 Part 70972 Nos 2 No 1 No 852 Qty 04 04Nos 3 No 56 No 72050 No 13 Qty 06 Nos 4 4 71387 GaA71387 01 Qty:01No 5 Part .861 Part 70975 No.861A70975 01 Qty:01Nos 6 No 88 No 89551 No 1 88A89551/1 01 ,Rubber Kit WSF make modified EP magnet valve unit items detailed Grommet K Ring Part O Ring Valve body adopter bracket Part No Qty 06 Nos Gasket Part Ball Valve seat Part No Qty:01Nos 
,,,,,,,,No,SIZE 2 X 1 X 1 WITH 25 X 1.5 LEAVING 3 NO 707 NO 2011 ,HARD WOOD PACKING FEET FEET X 1 INCHES RELEASED BOTH THE END BONDED MM WIDTH X MM STRIP INCHES BOTH THE ENDS IS MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
,SK.K 3001 ,,,,,,,Yes,No 1 1.RCF-CC 64334 64334 2 ,Hammer box Hammer per Drawing RDSO BREAKING WINDOW GLASS IN CASE OF EMERGENCY 
,,,,,,,,Yes,steel.size 5 x 4 feet 3 No 2015 SCDN/MECH/2015/RR/RACK 1 ,Storage unit inches inches shelves per drawing DRAWING ATTACHED 
,,,,,,,,No,NO 006 NO 01 Traversor 70 Model 066 ,Cardon Shaft Part Suitable surface Cap 
,SK-4-2-097 ,,Drg.No.ICF/SK-4-2,,,,,No,ICF 097 ,Lavatory Air Exhauster 
,,,,,,,,No,SIZE 7.5 X 7.5 OF 8 ,SCRUBBING PADS CM 7.5 CM OF MM THICK MAKE SCOTCH BRITE HAMARA BRIGHT OF SABEENA 
,,,,,,,,No,size 70.0 70.0 71.0 71.0 72.0 IS 3748 IS 90 Hardness 50 Hardness 55 ,SAB A Dimension gauge material tool steel HRC 
,SKI SPIRAL OF DIVERSEY SIGLA NEUTRAL OF ECOLAB Specification Specific gravity @ 25,,,,,,,No,celsius 0.95 -- 1.07 pH 1 sol 8.0 -- 9.5 ,Cleaning agent chequered plates Brand TAdegrees percent -- 
,,,,,,,,No,size 4 X 20 strength 30 P 229 ,Water repellent colour tape inches width meter length bonding adhesive fibre mechanical equivalent OF PRS PERMACEL HBT STANVAC 
,,,,,,,,No,SIZE 2 X 1 X 12 WITH 25 X 1.5 LEAVING 3 NO 707 NO 2011 ,HARD WOOD PACKING FEET FEET X INCHES RELEASED BOTH THE END BONDED MM WIDTH X MM STRIP INCHES BOTH THE ENDS IS MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
,,,,,,,,No,SIZE 2 X 1 X 4 WITH 25 X 1.5 LEAVING 3 NO 707 NO 2011 ,HARD WOOD PACKING FEET FEET X INCHES RELEASED BOTH THE END BONDED MM WIDTH X MM STRIP INCHES BOTH THE ENDS IS MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
,,,,QTY.PER set annexure attached ,,,,No,MODEL 066 ,SET OF FLOATING SHAFT TO SUIT SURFACE TRAVERSOR UNIQUE INDUSTRIAL HANDLERS PVT LTD DETAILED DESCRIPTION AND 
,,,,,,,Rev 00 ,No,MDTS 41493 ,Supply Improvised Opening Closing Mechanism Clutch wire Bio Digester Note Offers RCF Approved sources considered 
,,,,,,,,No,,SET OF TOOLS FOR AIR BRAKE TESTING OF WITH EASY TO CARRY TOOL BOX ITEMS CONSISTS IN THE SET OF TOOLS IS ENCLOSED 
,,,DRG NO WD-05086-,,ITEM NO.2 ,ALT.NO.08 ,,No,-- 19 ,MAIN PULL ROD SHORT FOR BOXNHL WAGON TO RDSO 
,,,,,,,,No,SIZE 48 X 18 NOTE 1 CONSIGNEE 2 BOARDS 3 INCLUSIVE 4 CONSIGNEE 5 ,POWDER COATING OF SLR PANEL ON BOTH SIDES OF AND PASTING OF RETRO REFLECTIVE LETTERS AND ECHO SOLVENT PRINT IMAGES ON BOTH ENDS OF SLR PANEL BOARDS AS PER SPECIFICATION ENCLOSED SLR PANEL BOARDS WILL BE SUPPLIED BY CLEANING OF RED OXIDE PAINT ON SLR PANEL BOARDS TRANSPORTATION CHARGES MATTER AND IMAGES AS GIVEN BY CONSIGNEE SAMPLE TO BE APPROVED BEFORE BULK SUPPLY 
,,,,,item no.1 ,Alt P 2 ,,Yes,No.T 5 No.T 1 No.T 103 ,Locking plate pad locking body side doors 
,SKI RI super DIVERSEY SIGLA NEUTRAL OF ECOLAB Specification Specific gravity @ 25,,,,,,,No,celsius 0.95 -- 1.08 pH 1 sol 9.5 -- 11.0 ,Cleaning agent toilets Brand TAdegrees percent -- 
,SK-K-3008 ,,DRG NO RDSO ,,,,,No,RDSO 3008 ,BUFFER SPRING PARTING PLATE GALVANIZED TO 
,,,DRG.NO 081-07-231-086 ,,,,,No,MODEL .3325 ,MAGNET VALVE SUITABLE FOR PARKING BRAKE OF EMU COACHES OF ROTEX OR SIMILAR 
,,,Drg No WD- 91071-,,,ALT.9 ,,No,RDSO 66 ITEM 9 ,Forged Door Hinge per BOBR wagon 
,,,,,,,,No,SIZE 25 X 150 IS 1239 IS 92 ,GI NIPPLE OF MM TO 
,,,Drg.No W/BD 2252 ,,,ALT4 ,,No,,Side buffer Recoil spring BG IRS 
,SK 5 5 039 ,,Drg.No.ICF/,,,,,No,SK 5 5 5 5 039 ,Window glass toughened toughened safety glass 5 
,,,,,,,,No,LH 30 WIDIA 6939318610 NO 175 175- 32 175- 3223 175- 30 ,TURNING CASSETTE MM MAKE OR SANDVIK PART 
,,,,,,,,No,,SET OF TOOLS FOR AIR BRAKE TESTING OF WITH EASY TO CARRY TOOL BOX ITEMS CONSISTS IN THE SET OF TOOLS IS ENCLOSED 
,,,Drg No.WD -92081 -- ,,,Alt.10 ,,No,-- 57 Item 5 ,Bush Bronze per RDSO BOBRN wagon 
,,,DRG NO LOAD SENSING DEVICE III 3,,ITEM NO 3 2 ,,,Yes,OF 5 NO 05 NO 01 NO 7 NO 01 NO 9 NO 3 NO 12 NO 01 EB 6280 ,OVERHAULING KIT ITEMS NOS ITEM NO ITEM NO NO ITEM NO NO ITEM NO NO FOR ESCORTS FOR LOAD SENSING DEVICE AS PER DRAWING ENCLOSED 
,,,,,,,,No,socket 40 X 25 TO 1879 TO 2010 ,GI Reducing MM 
,,,,,,,,No,SIZE 3 X 1 X 12 WITH 25 X 1.5 LEAVING 3 NO 707 NO 2011 ,HARD WOOD PACKING FEET FEET X INCHES RELEASED BOTH THE END BONDED MM WIDTH X MM STRIP 3 INCHES BOTH THE ENDS IS MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
,,,,,,,,No,SIZE 6 X 1 X 12 WITH 25 X 1.5 LEAVING 3 NO 707 NO 2011 ,HARD WOOD PACKING FEET FEET X INCHES RELEASED BOTH THE END BONDED MM WIDTH X MM STRIP INCHES BOTH THE ENDS IS MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
,,,,,,,,No,SIZE 2 X 1 X 2 WITH 25 X 1.5 LEAVING 3 NO 707 NO 2011 ,HARD WOOD PACKING FEET FEET X 2 INCHES RELEASED BOTH THE END BONDED MM WIDTH X MM STRIP INCHES BOTH THE ENDS IS MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
,,,Drg.no.WD-92081-,,,Alt- 10 ,,No,RDSO 57 S-57 2 Drg.No.WD 92081 S 53 Item 2 Alt 3 ,Eye bolt nut 
,,,,,,,,No,CLAMPS 600 OPENING 60 ,EARTH AMPS MADE OF ZINC COATED STEEL WITH COPPER PLATED JAWS AND SUITABLE COPPER MESH JAW MAKE ESAB OR SIMILAR 
,,,,,,,,No,OF 6 ITEMS 1 SIZE 8 INCHES 01 NO 2 SIZE 8 X 300 300MM 01 NO 3 SIZE 500 GRAMS 01 NO 4 SPANNER 6 SPANNER 30 SPANNER 10 LENGTH 01 NO 5 WRENCH 18 UPTO 2 INCHES 01 NO 6 GRIP 1 INCHES 9 INCHES 01 ,SET MAINTENANCE TOOLS CONSISTING OF INSULATING PLIER DRIVER SIZE 01 NO PEIN HAMMER SIZE 01 NO ADJUSTABLE INCHES 01 NO PIPE INCHES FOR PIPE CAPACITY INCHES 01 NO 6 FLAT TIPPED CHISEL WITH RUBBER 1 INCHES INCHES 01 NO BRITOOL 
,,,,,,,,No,SIZE 48 X 6 SIZE 4 X 4 ENCLOSED 1 CONSIGNEE 2 BOARDS 3 INCLUSIVE 4 CONSIGNEE 5 ,POWDER COATING OF D ON BOTH SIDES OF INCHES INCHES AND PASTING OF RETRO REFLECTIVE LETTERS AND ECHO SOLVENT IMAGES OF SIZE INCHES X 4 INCHES ON BOTH ENDS OF D BOARDS AS PER SPECIFICATION BOARDS WILL BE SUPPLIED BY CLEANING OF RED OXIDE PAINT ON D BOARDS TRANSPORTATION CHARGES MATTER AND IMAGES AS GIVEN BY CONSIGNEE SAMPLE TO BE APPROVED BEFORE BULK SUPPLY 
,,,DRG NO LOAD SENSING DEVICE III 3,,ITEM NO 3 2 ,,,Yes,OF 5 NO 05 NO 01 NO 7 NO 01 NO 9 NO 3 NO 12 NO 01 EB 6280 ,OVERHAULING KIT ITEMS NOS ITEM NO ITEM NO NO ITEM NO NO ITEM NO NO FOR ESCORTS FOR LOAD SENSING DEVICE AS PER DRAWING ENCLOSED 
,,,,,,,,Yes,DRAWING 0 DRAWING 1 DRAWING 643 ,RUBBER STOPPER PAD ON BOGIE FRAME FOR AXLE BOX CROWN CLEARANCE AS PER IRS coaching stock 
,,,,,,,,No,consisting 23 ,Rubber Kit Escort make EP brake valve sub assemblies Pressure limiting valve Triple valve Stablizing valve items per annexure attached 
,,,Drg.No.ICF.No.T-5-1-102 ,,Item No 1 ,Alt Y ,,No,,Braket pad locking door corner sheet per 
,,,,,,,,No,made 1680 H 35 L 25 B 17 stitching 02 size 1 bag 02 covered 1680 ,Bag bed roll packing nylon matte X X Flap cover provided Zip Nylon straps Nawar width right round 02 handle made nylon straps 1680 nylon Matte suitable size easy carrying 
,,,,,,,,No,tap 15 weight 400 -- 450 body 150 /- 10 ,Long Coated foam flow type make Suvidha Sieko ARK Material BRASS complete -- C.P Coating -- Brass -- body 
,,,,,,,,No,No 407009 Model 4310 ,Toner RICOH Printer part Make RICOH 
,,,,,,,,No,Grade 00 Pkg 5 per 5319 per 1987 ,STEEL WOOL made low carbon steel kg bundle As 
,,,DRG.NO.SC/CHG/MISC/01/2015 ,,,,REV.00 ,No,PER .9 ,VINYLE STICKER PASTED ON ACRYLIC SHEET TRANSPARENT IN COACHES AS 
,,,Drg.No.CLW ES I 25 ,,,,,Yes,-- 026 -- 148 -- 070 ,OHE power presence absence indicator eight wheeler tower car DETC As per specification -- DTI -- 
,,,,,,,,No,No 23000 No 3 No 1054 ,Solenoid Valve block set Common VCW Part Banka Bioloo Part No 
,,,Drg No.SC/Chg Misc./01/2015 ,,,,rev.00 ,No,per .9 ,Vinyle stickers pasted Acrylic sheet Transparent coaches 
,,,,,,,,No,size 13 X 10 Note 1 consignee 2 inclusive 3 consignee 4 supply 5 ,Powder coating coach number plates inches inches pasting retro reflective letters coach number plates supplied Transportation charges color matter given consignee Sample approved bulk Powder coating sides 
,,,,,,,,No,,Set hand tools gear examination easy carry box Items consist set tools attached 
,Sketch -- 99059 ,,Drg.No.Sketch -- ,,,Alt -- 2 ,,No,dia 35 X 70 RDSO 99059 -- 1 ,PIN UIC Vestibule 
,,,,,item no.1 ,Alt P 2 ,,Yes,No.T 5 No.T 1 No.T 103 ,Locking plate pad locking body side doors 
,,,Drg.No.ICF.No.T-5-1-102 ,,Item No 1 ,Alt Y ,,No,,Braket pad locking door corner sheet per 
