DRG._NUMBER,ALT_NUMBER,SPEC_NUMBER,ITEM_NUMBER,AMENDMENT_NO,SK_NUMBER,QUANTITY,REV_NUMBER,REST_DATA
Drg No 2,,,,,SK10.6176 ,,,Flex Ball Cable G 2197mm KB FTIL Drg No.A30400367 Part No 2SK10.6176 Hepos Part No A30400367 Suitable For Hand Brake LHB Power Car Make- HEPOS KBI FTIL 
drg ICF/SK-6-3-440 ,,,,,,,,Air Refreshner Container Stainless steel Odonil container Perforated body Lid Secured chain two Hole Bottom As per 
,,,,,,,,Welding Transformer As per Specification enclosed 
Drg.no JUDW/Mech/14-651 ,,,Item no.5 ,,,,,Plastic Paddle multi stage foot rest arrangement seat LHB Shatabdi AC chair car per 
,,,,,,,,Engine Oil SAE 15 W 40 API CH 4 MB 228.3 Make- IOCL BPCL HPCL similar 
,,,,,,,,Snack Table Knob complete double decker shatabdi train use per RCF drawing LD 61134 
,,,,,,,,Battery Walkie-Talkie Set capacity 2300 mAh Ni-Mh suitable Motorola GP-328 Make- Sanchar model STK-328EH similar 
,,,,,,,,Exhaust Fan Single Phase 220-240 Volt 50 Hz AC Sweep 450 Watts- 360 Amp 1.7 Class- E 18 /1400 RPM Air Compressor Drier Use . Make- Havel Crompton Marathon . Usha Polar Khetan Bajaj 
,,,,,,,,CBC Draft Gear Replacement equipment As per Annexure 1 Hydraulic operated lifting table capacity 750 kg . 2 .Platform size 550x1000 plain without sailing boards 3 .Minimum height ground level 450mm 4 Maximum table height ground level 1200 5 Trolley wheel dia 200 mm . 6 Suitable hand operated hydraulic pump operate hydraulic cylinder suitable draw bar 
,,,,,sketch enclosed material approved consignee supply ,,,Single Burner Gas Bhatti stainless steel body size- L 550 W-550 H-670 Fitted burner model C-22 complete fitting per rough 
,,,,,,,,Heavy Duty Lead -Acid Battery Fully charged specification Exide Model FXPO-XP1500 12 Volt 150 AH CCA per SAE-785 IEC-640 Charging current 9A Size-508 L x 222mm W X257 H Make- Exide Emron Luminous Tata 
,,,,,,,,Hand Trolley double wheel barrow As per specification Size:36 L x24 W x12 deep handle x15 deep opposite end M.S sheet body 2 24 dia T section wheels made 40x40x6 M.S T 2 handle made MS angle 2 M.S legs made 35x35x5 MS angle 
,,,,,,,,Recoiled Hose Polyurethane Tube blue color size-ID-8mm OD-12mm Length-20 Mtr long 1/2 BSP BSP Swivel nut Crimped side end Working Pressure- 10 Kg cm2 Make- Legric Parker Tufit 
,,,,,sketch enclosed material approved consignee supply ,,,Single Burner Gas Bhatti stainless steel body size- L 550 W-550 H-670 Fitted burner model C-22 complete fitting per rough 
,,,,,,,,PVC Transparent Pipe steel wire inside ID 2.5 Thickness- 4.5 -0.5 
,alt DWD014 ,,,,,,,Hand Drill Machine spec Input power 500/550W No load speed 0-266 rpm Drilling dia concrete-10 Drilling dia steel- 8 Drilling dia wood -20 Minimum chuck capacity -1-10 appx weight-1.5 kg . Make- Bosch GSB10RE Dewblack Decker KR554RE 
,,,,,,,,Refill ACME Brand Automatic Hygiene Odour control system AHOC As per RDSO Spec RDSO/CG-11 Capacity-Minimum 600 ml Make- ACME AIROMA AIR CARE 
,,,,,,,,S.S.Angel 24 SWG Grade- 304 size- 25x25 Each length 8 feet 
Drg ICF/SK-6-3-481 ,,,,,,,,Stainless steel Chain Length- 650 02 No S.S. Ring Ends S.S. Grade-304 As per Item 6 7 
,,,,,,,,Refill ACME Brand Automatic Odour control system AOC As per RDSO Specification RDSO/CG-12 Make- ACME/AIROMA AIR CARE 
DRG NO LD 64120 ,,,,,,,,SALOON SLINDING DOOR HANDLE GRADE SS -304 AS PER RCF ENCLOSED 
DRG NO LW 56362 ,,,,,,,,VESTIBULE DOOR HANDLE GRADE SS 304 AS PER IRS ENCLOSED 
Drg MI005569 ,,,,,,,,Flapper Valve Assembly Asper RCF Make- Amit/ Vibhu/Aikon./Similar 
,,,,,,,,3M VINYL STICKER PRINT SIZE 8 X 5 INCH FOR CLEAN MY COACH AS PER SAMPLE ENCLOSED 
Drg No CDO/JP/16/01 ,,,,,,,,Arm Rest Logo made PVC LHB double decker train As per enclosed Sample approved consignee supply 
,,,,,,,,ISI Marked Dry Chemical Powder Fire Extenguisher ABC fire use per IS 14609 
,,,,,,,,A pair SS Ball Valve consisting 02 items size -80mm 100mm Three piece design Gland Type SS 316 Ball Stem renewable Teflon Seat Seals Flange end ASA 150 WP 450 PSI Detail per annexure A Make- ACE AUDCO JAU Similar 
,,,,,,,,Bottle jack 30 ton capacity screw extension 100 safety lock nut pump closed Height :270-285 Hydraulic lift 150-200 Total extended Height 420-485 RAM dia 75 approx Base size 200x200 body dia 146-160mm 
,,,,,,,,DRDO ANAEROBIC BACTERIA INOCULUMS FOR BIO DIGESTERS Eligibility conditions As Per Annexure A 
Drg MI005568 ,,,,,,,,Outlet Slide Valve per RCF Make- Amit Vibhu Aikon similar 
,,,,,,QTY 02 ,,ONE SET CONSISTING THREE ITEMS 1 PIE BRAND TREAD WEAR MEASURING GAUGE MODEL TWG-1 C W TO SOLID WHEEL DEMU S FOR TYRED WHEELS MADE OF HARD ALLOY STEEL HARDNED MEASURING POINTERS AND USED TO MEASURED FOLLOWINGS -a FLANGE WEAR b ROOT WEAR cTREAD WEAR FLAT TYRE .THE GAUGE COMES IN NICELY FINISHED WOODEN STORING NOS 2 PIE BRAND TYRE DEFECT GAUGE /CONDEMNING GAUGE.MODEL TDG-1 BG AS PER PLATE 39 RULE 2.8.4 OF IRCA MADE OF HARD ALLOY STEEL PLATE.USED FOR INSPECTION OF CONDEMN FLANGE THICKNESS ROOT RADIUS SHARP FLANGE DEEP FLANGE FLATNESS OF TREAD ETC.OF WHEEL PROFILE SUPPORTED IN CARRYING CASE QTY 02 NOS.NOTE CONDEMNING THICKNESS REQUIRED-22MM 3 J GAUGE FOR DIA MEASURING OF DEMU DPC TC DTC STANDARD WHEEL DIA OF DPC-952 MM STANDARD WHEEL DIA OF TC DTC-915MM QTY 02 NOS.. 
DRG.NO ICF/DMU/DPC/JK-S-1-014 ,,,,,,,,WINDOW GLASS FOR HHP DMU AS PER TOUGHENED 
DRG.NO -DMU/JUC-M/BRAKE BEAM SLEEVE ATTACHED HEREWITH ,,,,,,,,BRAKE BEAM SLEEVE FOR ICF TC DTC COACHES AS PER 
,,,,,,,,CONNECTING ROD CRANK SHAFT ASSEMBLY WITH BEARING FOR AIR COMPRESSOR MODEL TRC-2507 TO ELGI PART NO 070301140 OR ITS EQUIVALENT 
,,,,,,,,CONNECTING ROD CRANK SHAFT ASSEMBLY WITH BEARING FOR AIR COMPRESSOR MODEL TRC-2507 TO ELGI PART NO 070301140 OR ITS EQUIVALENT 
DRG.NO.WLRRM-0-4-003 ,ALT f AND 4 ,,,,,,,BOGIE BOLSTER ARRANGEMENT COL-II 
DRG NO WD-09034-,ALT.2 ,,ITEM NO.1 ,,,,,BODY SIDE STANCHION RDSO S-17 MATERIAL TO BE PROCURED FROM RDSO APPROVED SOURCES ONLY 
DRG NO WD-11058-,ALT 4 ,,,,,,,CENTRE SILL HAT SECTION RDSO S-01 OR LATEST SHEET NO 1 AND 2 MATERIAL TO BE PROCURED FROM RDSO APPROVED SOURCES ONLY 
,,,,,,,,CRF SECTION FOR BOX N HL MBS WAGON CONSISTING 03 ITEMS AS PER ANNEXURE ATTACHED MATERIAL SHOIULD BE PROCURED FROM RDSO APPROVED SOURCES 
,,,,,,,,CRF SECTION FOR BOX N HL MBS WAGON CONSISTING 34 ITEMS AS PER ANNEXURE ATTACHED MATERIAL TO BE PROCURED FROM RDSO APPROVED SOURCES ONLY 
,,,,,,,,BEARING CAP TO HYT CODE NO 50.1022.05 OR ITS EQUIVALENT 
,,,,,,,,TOOL HOLDER L.H TO HYT CODE NO 50.1003.01/02/B2 OR ITS EQUIVALENT 
,,,,,,,,TURNING CASSETTE R.H. TO HYT PART NO 50.1003.01/02/B1 OR ITS EQUIVALENT 
,,,,,,,,ANGLE RING/END CAP TO HYT CODE NO 50.1022.06 OR ITS EQUIVALENT 
,,,,,,,,FACING CASSETTE R.H. TO HYT PART NO 50.1003.01/02/B1 OR ITS EQUIVALENT 
,,,,,,,,OIL SEAL TO HYT PART NO 50.1004.01.02/B6 OR ITS EQUIVALENT 
,,,,,,,,SPACER FOR TAPER RING FOR DRIVE ROLLER SPACER HYT CODE NO 50.1004.14 OR ITS EQUIVALENT 
,,,,,,,,TURNING CASSETTE L.H TO HYT CODE NO 50.1003.01/02/B2 OR ITS EQUIVALENT 
,,,,,,,,TOOL HOLDER R.H. TO HYT PART NO 50.1003.01/02/B1 OR ITS EQUIVALENT 
,,,,,,,,BEARING CAP TO HYT CODE NO 50.1004.09 OR ITS EQUIVALENT 
,,,,,,,,FACING CASSETTE L.H TO HYT PART NO 50.1003.01/02/B2 OR ITS EQUIVALENT 
,,,,,,QTY 02 ,,ONE SET CONSISTING THREE ITEMS 1 PIE BRAND TREAD WEAR MEASURING GAUGE MODEL TWG-1 C W TO SOLID WHEEL DEMU S FOR TYRED WHEELS MADE OF HARD ALLOY STEEL HARDNED MEASURING POINTERS AND USED TO MEASURED FOLLOWINGS -a FLANGE WEAR b ROOT WEAR cTREAD WEAR FLAT TYRE .THE GAUGE COMES IN NICELY FINISHED WOODEN STORING NOS 2 PIE BRAND TYRE DEFECT GAUGE /CONDEMNING GAUGE.MODEL TDG-1 BG AS PER PLATE 39 RULE 2.8.4 OF IRCA MADE OF HARD ALLOY STEEL PLATE.USED FOR INSPECTION OF CONDEMN FLANGE THICKNESS ROOT RADIUS SHARP FLANGE DEEP FLANGE FLATNESS OF TREAD ETC.OF WHEEL PROFILE SUPPORTED IN CARRYING CASE QTY 02 NOS.NOTE CONDEMNING THICKNESS REQUIRED-22MM 3 J GAUGE FOR DIA MEASURING OF DEMU DPC TC DTC STANDARD WHEEL DIA OF DPC-952 MM STANDARD WHEEL DIA OF TC DTC-915MM QTY 02 NOS.. 
,,,,,,QTY 02 ,,ONE SET CONSISTING THREE ITEMS 1 PIE BRAND TREAD WEAR MEASURING GAUGE MODEL TWG-1 C W TO SOLID WHEEL DEMU S FOR TYRED WHEELS MADE OF HARD ALLOY STEEL HARDNED MEASURING POINTERS AND USED TO MEASURED FOLLOWINGS -a FLANGE WEAR b ROOT WEAR cTREAD WEAR FLAT TYRE .THE GAUGE COMES IN NICELY FINISHED WOODEN STORING NOS 2 PIE BRAND TYRE DEFECT GAUGE /CONDEMNING GAUGE.MODEL TDG-1 BG AS PER PLATE 39 RULE 2.8.4 OF IRCA MADE OF HARD ALLOY STEEL PLATE.USED FOR INSPECTION OF CONDEMN FLANGE THICKNESS ROOT RADIUS SHARP FLANGE DEEP FLANGE FLATNESS OF TREAD ETC.OF WHEEL PROFILE SUPPORTED IN CARRYING CASE QTY 02 NOS.NOTE CONDEMNING THICKNESS REQUIRED-22MM 3 J GAUGE FOR DIA MEASURING OF DEMU DPC TC DTC STANDARD WHEEL DIA OF DPC-952 MM STANDARD WHEEL DIA OF TC DTC-915MM QTY 02 NOS.. 
,,,,,,QTY 02 ,,ONE SET CONSISTING THREE ITEMS 1 PIE BRAND TREAD WEAR MEASURING GAUGE MODEL TWG-1 C W TO SOLID WHEEL DEMU S FOR TYRED WHEELS MADE OF HARD ALLOY STEEL HARDNED MEASURING POINTERS AND USED TO MEASURED FOLLOWINGS -a FLANGE WEAR b ROOT WEAR cTREAD WEAR FLAT TYRE .THE GAUGE COMES IN NICELY FINISHED WOODEN STORING NOS 2 PIE BRAND TYRE DEFECT GAUGE /CONDEMNING GAUGE.MODEL TDG-1 BG AS PER PLATE 39 RULE 2.8.4 OF IRCA MADE OF HARD ALLOY STEEL PLATE.USED FOR INSPECTION OF CONDEMN FLANGE THICKNESS ROOT RADIUS SHARP FLANGE DEEP FLANGE FLATNESS OF TREAD ETC.OF WHEEL PROFILE SUPPORTED IN CARRYING CASE QTY 02 NOS.NOTE CONDEMNING THICKNESS REQUIRED-22MM 3 J GAUGE FOR DIA MEASURING OF DEMU DPC TC DTC STANDARD WHEEL DIA OF DPC-952 MM STANDARD WHEEL DIA OF TC DTC-915MM QTY 02 NOS.. 
,,,,,,,,Lockers grey colour eight lockers number plate locker size 3 x1-1.1/2 x6.1/2 feet locker hand door shall confirm IS:3314/1984 2005 Thickness sheet 0.8mm minimum required.Make KEC Delite 
,,,,,,,,Lockers grey colour eight lockers number plate locker size 3 x1-1.1/2 x6.1/2 feet locker hand door shall confirm IS:3314/1984 2005 Thickness sheet 0.8mm minimum required.Make KEC Delite 
,,,,,,,,Knuckle Pivot Pin Dellner Coupler Part No 1030605 
,,,,,,,,Plate Dellner Coupler Part No 1020212 
,,,,,,,,Wing Pocket Guide Arm NO-GO Gauge Deller Coupler Part No 1037473 
,,,,,,,,Compression Spring Dellner Coupler Part No 1020223 
Drg.No SK-613 ,,,,Amendement No 1 ,,,Rev-2 ,Rotary Lock Lift Assy Coupler Head ESCORTS Confirming RDSO Spec.No C-K009 
,,,,,,,,Grease packing capacity 20kgs tin make molygraph SG180 equivalent specification 1 Appearance smooth 2. colour yellowish 3. base oil mineral 4. base lithium calcium 5. worked penetration 265 295 6. operating temp range -20/ 140 
Drg.no.SCR/C W/ Sketch No.1211/,,,Item No 1 ,,,,,Barrel lock per C Item No 3 item No:4 Item No 5 
Drg No.ICF SK-6-3-425 ,alt 07 2009 ,,item No.8 ,,,,,SPRING push type Flushing valve per latest 
,,,,,,,,"BRASS BALL VALVE 25mm Screwed female ends lever operated.Make ZOLOTO L T AUDCO per Specification part name material IS specification 1 Stem Forged Brass IS 6912 Gr FLB,2 .Nut Carbon steel IS1367,3 Washer Carbon steel IS1367,4 .Lever Carbon steel IS2062,5 Body Gland Nut Forged Brass IS 6912 Gr.FLB,6 Gland packing PTFE BS EN 12086-1,7 .Ball Forged Brass IS 6912 Gr.FLB,8 Body seat Ring PTFE BS EN 12086-1,9 .Bonnet Forged Brass IS 6912 Gr.FLB Technical leaflet model warranty valve test certificates submitted "
Drg.No.WD-92081-,Alt.1 ,,,,,,,Double acting air cylinder cylinder door operating mechanism BOBRN WAGONS per RDSO S-54 
,,,Item No 2 ,,Sketch CG-K6070 ,,,15 Gravity type spring loaded water tap drawing No.RDSO/
DRG No ADME/CBE/D/C-014 ,,,,,,,,Bracket assembly complete vestibule garbage bag per 
,,,,,skid 3. ,,,Door mats synthetic type Blue/Green size 750mm x 1460mm make DURO TURF Arestoturf/ultimate/Astroturf specifications 1 Material synthetic resin 2. lay latex budding anti flower bud per sq inch 6 numbers approx /- 5 percent 4 No leaves per sq inch 48 nos approx /-10 percent 5 No leaves per bud 08 nos 6. pile height 14mm /-2mm 7. sides PVC beading 
,,,,,,,,Opaque leak proof disposable polythene covers size height 45 inches minimum width 20 inches minimum minimum 40 microns carrying capacity 25 kg minimum 
,alth faucet Tube Hook similar model Allied 54 ,,,,,,,HeACCO make Make ACCO/SUVIDHA/SEIKO/ITC 
,,,,,,,,Connector OKC 50/90 Female suit distribution box ESABE make multi operated Welding Plants 
,,,,,,,,Free Slack Contour Gauge Dellner Coupler Part No 166263 
,,,,,,,,Poly grass mat Soft type Red Colour size 0.61 X 15 meters per Roll make Duro soft Ultimate Prestige Specification 1 .PVC Synthetic material 2 .Loop dia 0.6mm 3 .Thickness base 2mm 4 .Total thickness 12mm Approx /- 2mm 
,,,,,,,Rev Amnd.2 ,Mirror size 700 x 900 x 5mm thickness outside wash basin LHB coaches spec No IS 3438/94 secons quality AA/SSQ per IS.2835/87 Third Rev 
Drg No.ICF SK-6-3-425 ,alt 07 2009 ,,item No.11 ,,,,,WASHER push type flushing valve per latest 
Drg.No.ICF/SK-6-3-425 ,ALT M 07/2009 ,,item No.10 ,,,,,Washer dia 30 x 3mm push type flushing valve AS PER LATEST 
,,,,,Sketch-K1054 ,,,Hose Connection Air Spring Suspension SAE 100 R3 550mm long 3/4 BSP female Swivel nut parallel threads ends per RDSO Note To procured Approved sources ICF RDSO Air Brake hose coupling coaching stock INSPECTION BY RITES 
DRG No SK-1650 ,,,,Amendment No 1 ,,,Rev-2 ,Knuckle thrower coupler head Escorts Confirming RDSO Spec No C-K009 
,,,,,,,,Modified Holding Magnet Valve Complete M/s WSF Ltd. Part No IC70221/1 suitable Electro Pneumatic brake unit type LD2 Modified WSF Make 
,,,,,,,,Front support part No 727857000 spring cartridge assembly 
,,,,,,,,Wing Pocket Guard Arm Gauge Dellner Coupler Part No 1037450 
Drg No WD-88123-,alt.-02 ,,,Amend No 03 ,,,,Cutt Off Angle Cock Vent Freight Coaching Stock Confirming RDSO Spec No 02-ABR-02 April 10 Appendix D S-01 Note RDSO Approved sources quote 
,,,,,,,,Feed Valve F Type Complete WSF Part No C75550/1 WSF Make Brake Controller 
,,,,,,,,Transformer Crocodile type 400 Amps Capacity Heavy duty earth clamp Esabe Make Item Code No 200-2002-001 Make Wel Spring ESAB Ador 
,,,,,,,,Kit Element Lube Oil Ring Cummins Part No Kit 3238204 One Kit consists 1 No Filter 1 No Ring Make Fleet Guard/Cummins OEM/OEM Authorised dealer RDSO Approved source quote 
,,,,,,,,Kit Super By Pass Filter Element Ring Cummins Part No Kit3879488 One Kit Consists 1 No Filter 1 No Ring Make Fleet Guard/Cummins OEM/OEM Authorised Dealer RDSO Approved sources quote 
,,,,,,,,Kit Fuel Filter Ring Cummins Part No Kit 3238493 One Kit consists 1 No Filter 1 No Ring Make Fleet Guard/ Cummins OEM/OEM Authorized dealers RDSO Approved Sources quote 
,,,,,,,,Free Slack Contour Gauge Dellner Coupler Part No 166263 
,,,,,,,,Brake Drum Dia-400 Part No BB/066/B-125 suitable Surface Traversor 70T Cap Model B-066 Make Unique Material Handlers Pvt.Ltd 
Drg.No SK-73549.,,Specn 02-ABR-02 ,,Amendement No 3 ,,,,Guards Emergency Brake Valve 8mm dia choke let port confirming RDSO No 
,,,,,,,,1/2 Inch Safety Valve Type E1 set 4 kg/cm2 M/s WSF Part No IB70443/3 M/s Escorts Part No 4A 11422a 
Drg.No SK-97017 ,Alt-02 ,,,,SK.NO 97018 ,Qty/Kit 01 ,,Set Maintenance Spares Overhauling Passenger Emergency Alarm Signal Devic RDSO Spec No.02-ABR-02 Appendix-J consisting 06 Items per detailed descirption herewith PistonDrg.Ref -RDSO Sheet-1 Alt-4 Item-2 IS:319 HARD HD b Locking Screw R 1/2 Drg.Ref RDSO SK.NO 97017 ALT-2 Item-20 DIN:910 Qty/Kit:01 c Plug 3/8 rg Ref RDSO SK.No 97017 Alt-2 item-22 DIN:910 /qty/Kit 01 Cove Plate Drg.Ref RDSO SK.No 97018 Sheet-2 Alt-4 item-11 IS 513-0-14G THK Qty/Kit 01 e Roller Drg Ref RDSO.SK.No.97018 Sheet-2 Alt-4 Item-1 BS 970 EN8 ALT BIS 2062 Fe410WA QTY/KIT 01. f Washer dia 5.5 Drg.Ref RDSO SK.No 97017 Alt-2 item-17 IS 2016 Qty/Kit 06 Note -RDSO Approved vendors need quote 
,,,,,,,,1/2 inch Safety Valve type E1 set 1.8 kg/cm2 M/s WSF Part No IB70443/4 M/s Escorts Part No 4A 11422a 
Drg.no EMU/M-0-2-005 ,Alt-n ,,,,,,,Collar Axle Box Roller Bearing arrangement ICF Item-1 
,,,,,,,,ISI MARKED BRASS BALL VALVE OF SIZE 25-mm SCREWED FEMALE ENDS LEVER OPERATED MAKE ZOLOTO/L T/AUDCO ONLY SPECIFICATION FOR BRASS BALL VALVE 25 1 NAME OF THE PART STEM MATERIAL FORGED BRASS SPECIFICATION IS 6912 Gr FLB 2 NAME OF THE PART NUT MATERIAL CARBON STEEL SPECIFICATION IS 1367 3 NAME OF THE PART WASHER MATERIAL CARBON STEEL SPECIFICATION IS 1367 4 NAME OF THE PART LEVER MATERIAL CARBON STEEL SPECIFICATION IS 2062 5 NAME THE PART BODY GLAND MATERIAL.FORGED BRASS.SPECIFICATION IS 6912 Gr FLB 6 NAME OF THE PART GLAND PACKING MATERIAL PTFE SPECIFICATION BS EN:12086-1 7 NAME OF THE PART BALL MATERIAL FORGED BRASS SPECIFICATION IS 6912 Gr.FLB 8 NAME OF THE PART BODY SEAT RING MATERIAL PTFE SPECIFICATION BSEN 12086-1 9.NAME OF THE PART BONNET MATERIAL FORGED BRASS SPECIFICATION IS 6912Gr.FLB 
,,,,,,,,Full Gear Coupling 104 suitable Surface Traversor 70 Ton Model B-066 Make -Unique Material Handlers Pvt Ltd 
,,,,,,,,Brake EHT 300-18 suitable Surface Traverson 70 Ton Cap Model B-066 Make Unique Material Handlers Pvt Ltd 
,,,,,,,,Clutch Plates 12 dia Ceramic TATA Lorry Model No 1613TC 
Drg No M1005986 ,Alt-b Note -Past Performance item enclosed firms otherwise offer passed Preferred DP EX-STOCK ,,,,,,,Opening Machanism Ball Valve Bio-Toilet Retention tank RCF 
,,,,,,,,Brake Drum Dia 300mm Part No B/005/B-124 suitable Surface Traversor 70 Ton Cap Model B-066 Make Unique Material Handlers Pvt Ltd 
Drg.No ICF/MRVC/M-6-2-002 ,Alt- g ,,,,,,,Luggage Rack Complete ICF Col-II 
DRG NO ST 971207 ,,,,,,,,TWIST HEAD FOR AUTOMATIC TWIST LOCK OF BLC WAGONS AS PER HOLLAND PART NO 70160 AND SANROK PART NO 70160 
Drg.No SCR/C W/Sketch No 1212/,Alt-nil Inspection BY RITES ,,,,,,,M.S Bottom Liner For Lower Hytrel Washer Primary Suspension C item-1 
Drg.No.CLW ES I 25 ,,,,,,,,OHE power presence absence indicator eight wheeler tower car DETC As per specification drawing no.DTI -- 026 DTI -- 148 DTI -- 070 
,,,,,,,,Kit Element Lube Oil Ring Cummins Part No Kit 3238204 One Kit consists 1 No Filter 1 No Ring Make Fleet Guard/Cummins OEM/OEM Authorised dealer RDSO Approved source quote 
,,,,,,,,SEALING RING A105/130/12 TO RCF PL.NO.33590631 
,,,,,,,,SOFT GENTLE LIQUID SOAP FILLING IN PLASTIC CONTAINER WITH PUMP AND NOZZLE IN 250 ml NET MAKE FEM/POLMOLIVE/DETOL 
DRG No SK-612 ,,,,Amendment No 1 ,,,Rev-2 ,Lock coupler head Escorts Comfirming RDSO Spec No C-K009 
DRG No SK-575 ,,,,Amendment No 1 ,,,Rev.-2 ,Main pin knuckls Escorts confirming RDSO SPEC No C-K009 
Drg No.SC/Chg Misc./01/2015 ,,,,,,,rev.00 ,Vinyle stickers pasted Acrylic sheet Transparent coaches per S.No.9 
Drg No.SC/Chg Misc./01/2015 ,,,,,,,rev.00 ,Vinyle stickers pasted acrylic sheet Transparent coaches per S.No.14 
,,,,,,,,Heavy Duty Brake Clutch Fluid Oil Dot-3 Suitable Brake Clutch System expecpt Mineral Oil System Make Castrol TVS Grilling Each Bottle contains-01 Liters 
,,,,,,,,SEALING RING A105/130/12 TO RCF PL.NO.33590631 
,,,,,,,,Bags bed roll packing 1680 nylon matte water proof size.height 35 inches x length 25 inches x breadth 17 inches 
,,,,,,,,HP PRINT HEAD C4901A CYAN/MEGENTA 
,,,,,,,Rev.03 ,SPEED SENSING DEVICE SIMILAR TO PART NO.150001 [ ICF DESIGN ] AS PER RDSO SPECIFICATION No.C-9906 MAKE AIKON/VIBHU/AIR FLOW OR SIMILAR 
Drg No.SC/Chg/ Misc./01/2015 ,,,,,,,rev.00 ,Vinyle stickers pasted acrylic sheet Transparent coaches per S.No.14 
DRG NO.ICF/STD-6-4-004 ,Alt g/5 ,,,,,,,FRP LITTER BIN BELOW OUTSIDE WASH BASIN TO ICF COl.II 
Drg No.SC/Chg Misc./01/2015 ,,,,,,,rev.00 ,Vinyle stickers pasted Acrylic sheet Transparent coaches per S.No.9 
,,,,,,,,PVC slot grey channel 45 x 45 [ 2 mtrs ] length make Modi Cone Rdiant Accord 
,,,,,,,,Kit Super By Pass Filter Element Ring Cummins Part No Kit3879488 One Kit Consists 1 No Filter 1 No Ring Make Fleet Guard/Cummins OEM/OEM Authorised Dealer RDSO Approved sources quote 
,,,,,,,,Wing Pocket Guard Arm Gauge Dellner Coupler Part No 1037450 
DRG NO.SK-611 ,,,,AMENDMENT NO.1 ,,,REV-2 ,KNUCKLE FOR COUPLER HEAD TO ESCORTS CONFIRMING TO RDSO SPEC.NO.C-K009 
,,,,,,,,Rotation Lock Lift Assembly Dellner Coupler Part No 1030604 
,,,,,,,,Un-Coupling Device Dellner Coupler Part No 1005955 
,,,,,,,,Knuckle Thrower Dellne Coupler Part No 1030475 
,,,,,,,,Contour Gauge Dellner Coupler Part No 1037499 
Drg No M1005986 ,Alt-b Note -Past Performance BIO TOILET SPARES enclosed firms along offers otherwise offer passed Past performance i.e R.Notes Acceptabnce material Preferred DP EX-STOCK ,,,,,,,Opening Machanism Ball Valve Bio-Toilet Retention tank RCF 
Drg.No ICF/STD-6-3-107 ,Alt-Nil ,,,,,,,Stainless Steel Towel Ring ICF Item-1 
Drg.No 1901352 ,,,,,,,,Stop Plate RCF ver/01 material specification NYLON-66 per RDSO Specification No C-8107 Note To procured RDSO Approved sources Nylon-66 brake gear bushes 
,,,,,,Qty/Kit 04 ,,Set Brake Drum Cast Iron EOT Cranes Detailed Descrption 1 Brake Drum 250mm dia suitable 15 Ton EOT Cranes Nos 2 Brake Drum 200mm dia suitable 7.5 Ton EOT Cranes Qty/Kit 04 Nos Make REVA/SAICO/GARLICK/SHRUSHTI Note OEMS authorized dealer quote along authorization certificate Firms mention details make/model item shall enclosed relevant technical leaflet 
Drg.No.CG-11088 ,Alt-Nil ,,,,,,,Bracket Safety Rope 
,,,,,,,,Stabilizing Valve Escorts Part No 3A47492/1 suitable Escorts Make Electro Pneumatic Brake Valve 
Drg No.CC 56408 ,Alt-d ,,,,,,,Compartmnt Door Glass Item 2 RCF Detailed Description Glass 8 x 420 x 900 Compartment Door grill AC sleeper coaches RCF Drg No CC 56408 Item 2 
,,,,,,Qty/Kit 04 ,,Set Brake Drum Cast Iron EOT Cranes Detailed Descrption 1 Brake Drum 250mm dia suitable 15 Ton EOT Cranes Nos 2 Brake Drum 200mm dia suitable 7.5 Ton EOT Cranes Qty/Kit 04 Nos Make REVA/SAICO/GARLICK/SHRUSHTI Note OEMS authorized dealer quote along authorization certificate Firms mention details make/model item shall enclosed relevant technical leaflet 
,,,,,,Qty-10 ,,Nitrile Rubber O Ring size 17 x 4mm Acceptance O ring subject Lab Test LGD Nitrile Rubber Nos supplied material 
,,,,,,,,Kit Fuel Filter Ring Cummins Part No Kit 3238493 One Kit consists 1 No Filter 1 No Ring Make Fleet Guard/ Cummins OEM/OEM Authorized dealers RDSO Approved Sources quote 
,,,,,,,,Washer Dellner Coupler Part No 1004159 
,,,,,,,,Stop Cleat Deller Coupler Part No 1006203 
,,,,,,,,Support Beam Dellner Coupler Part No 1020214 
,,,,,,,,Nut Dellner Coupler Part No 1004295 
,,,,,,,,Slide Pad Dellner Coupler Part No 1020222 
,,,,,,,,Lock Dellner Coupler Part No 1030962 
,,,,,,,,Support Pin Dellner Coupler Part No 1030606 
,,,,,,,,Key Dellner Coupler Part No 1036673 
,,,,,,,,Support Device Dellner Coupler Part No 1011452 
,,,,,,Qty 08 ,,Washer Nord Lock DELLNER COUPLER Oems authorised dealer supply Full descrption Washer N-L A4 13 x 19.5 x 2.2 Stainless Steel EN 1.4404 AISI 316L Pairs b Washer N-L A4 10.3 x 16 x 2.2 Stainless Steel EN 1.4404 AISI 316L Qty 08 Pairs c Washer N-L Zinc Plated 17 x 30.7 x 3.2 EN 1.7182 Qty 48 Pairs 
,,,,,,,,Support Dellner Coupler Part No 1020218 
,,,,,,,,TRAMMELING GAUGE Measuring range -1950 2300 2850 3200mm Accurancy 1.00 Suitable CASNUB BOGIES With calibration certificate valid one year date supply Govt.Approved laboratories 
