UNIT *,PRODUCT CODE,DESCRIPTION,SPECIFICATION
1,60227008,"REVISED IRS SIDE BUFFER CASING FOR ICF COACHES TO ICF DRG. NO. T-2-2-604, ALT-A/2. AND C.RLY ALT-A.
MATERIAL AND SPECIFICATION AS PER DRAWING. 

THIS ITEM IS RESERVED FOR PROCUREMENT FROM RDSO APPROVED SOURCES ONLY.",
9,60227008,"REVISED IRS SIDE BUFFER CASING FOR COACHING STOCK (CASTING)TO RDSO DRG.NO.SK-94043,ALT-5.",T22604/A/2
12,60227008,"REVISED IRS SIDE BUFFER CASING FOR COACHING STOCK [CASTING] TO DRG. NO. RDSO/SK-94043, ALT. 3 [BUFFER CASING CASTING SHALL CONFORM TO IS: 1030-89 AND SHALL BE PROCURED ONLY FROM 'A' CLASS FOUNDRIES TO IS:12117-1996]",
13,60227008,"REVISED IRS SIDE BUFFER CASING FOR COACHING STOCK CASTING TO RDSO DRG.NO. SK-94043, ALT-5 .MATERIAL AND SPECIFICATION AS PER DRG .",
16,60227008,"REVISED IRS SIDE BUFFER CASING FOR COACHING STOCK (CASTING) TO DRG. NO.-RDSO/SK-94043, ALT.-3.",
2,60227010,"HEX HEAD BOLT WITH NYLOCK NUT AS PER RDSO'S SK.98145, ITEM NO.18 & 19 ALT NO.12 ALONGWITH SPRING WASHER AS PER RDSO'S SK. NO. 98145 ITEM NO. 20, ALT. NO. 8.",
6,60227010,"RUBBER SPRING PACK 1000 KGM. CAPACITY FOR DRAW GEAR OF BG COACHES TO RDSO SK-K3004, ALT-NIL, TO SPECN. C-9501 (REV.3).JAN-03.AMDT.1 OF SEP 2016",
8,60227010,"SIDE BUFFER CASING(CASTING) FOR COACHING STOCK TO DRG. NO. RDSO'S SK.94043, ALT.-4, ITEM -1. MATL. & SPECN.: IRS:M2/65, CLASS-A, GR.200-400W, CORR. SLIP-5/92 & IRS:R-10/92.",
10,60227010,"HEXAGONAL HEAD BOLT WITH NYLOC NUT AND SPRING WASHER TO RDSO SK NO. 98145, ITEM NO. 18, 19 AND 20, ALT.- 8.",
11,60227010,SIDE BUFFER CASING FOR COACHIN,
15,60227010,RUBBER SPRING PACK 1000KGM CAPACITY FOR DRAW GEAR OF BG COACHES TO RDSO SK-K3004 ALT-NIL TO RDSO SPECIFICATION C-9501 (REV.3)(ONE SET CONSISTS OF 14 ELEMENTS),
99,60227010,"HEX HEAD BOLT WITH NYLOCK NUT AS PER RDSO'S SK.98145, ITEM NO.18 & 19 ALT NO.12 ALONGWITH SPRING WASHER AS PER RDSO'S SK. NO. 98145 ITEM NO. 20, ALT. NO. 8.",
7,60227021,"IRS SIDE BUFFER CASING FOR COACHING STOCK [CASTING ] TO RDSO DRG NO:SK-94043, ALT:5.NOTE:SIDE BUFFER CASING SHALL BE PRODUCED FROM ""A"" CLASS FOUNDRY AS PER IS:12117-1996 ONLY.  DOCUMENTAL EVIDENCE CERTIFYING THE FOUNDRY IS AS PER IS:12117-1996 SHALL BE SUBMITTED ALONG WITH THE OFFER .",
8,60227021,NUT HEXAGONAL M-39,
11,60227021,NUT HEXAGONAL M-39,
15,60227021,REVISED IRS SIDE BUFFER CASING FOR COACHING STOCK  (CASTING )  TO RDSO SK.94043.ALT 3,
8,60227033,"WASHER AND DESTRUCTION PARTS FOR IRS BUFFER TO ICF'S DRG.NO.T-2-2-602, ALT. M/3, ITEM 1, 4 OR 5 & 6 IN ASSEMBLED CONDITION. MATL.AND SPECN.: AS PER DRAWING.",
11,60227033,"DESTRUCTION TUBE WITH END PLATES IN ASSEMBLED CONDITION FOR IRS BUFFER TO DRG./SPECN. ICF DRG. T-2-2-602, ALT NO. M/2, ITEM 4,5 & 6 IN ASSEMBLED CONDITION.",
8,60227057,"HEX. HEAD BOLT COMPLETE (FOR BUFFER CASING) TO S.E.RLY'S DRG. NO. KGP-1903, ALT.1, ITEM 1 TO 4 IN ASSEMBLED CONDITION. MATL. & SPECN.: AS PER DRG.",
1,60227800,"SIDE BUFFER CASING FOR COACHING STOCK [CASTING] TO RDSO DRG. NO. RDSO. SK-94043 ALT-5, ALTERNATIVE SK-94044, ALT-NIL. MTRL SPECIFICATION: IRS M2 CLASS-A, GR. 200-400 W AND R-10. ALTERNATE IS: 1875-CL.3 AND R 10. THIS ITEM IS RESERVED FOR PROCUREMNT FROM RDSO APPROVED FIRMS FOR CLASS-A FOUNDRY ONLY.",
1,60230007,ENHANCED CAPACITY SCREW COUPLING ASSEMBLY TO RDSO SKETCH 99001. ALT-4. MATERIAL AND SPECIFICATION TO RDSO SPECN. C-9505 REV AUG 2001. THIS ITEM IS RESERVED FOR PROCUREMENT FROM RDSO APPROVED SOURCES ONLY.,
3,60230007,SCREW COUPLING ASSLY,
5,60230007,"SCREW COUPLING  ASSEMBLY COMPLETE BG /ICF,",SPECIFICATION : AS PER DRAWING.
8,60230007,"ENHANCED CAPACITY SCREW COUPLING ASSEMBLY COACHING STOCK TO RDSO'S SK-99001,ALT-2,ITEM 1 TO 16.MATL. & SPECN. AS PER DRAWING WITH LATEST SPECIFICATION.",
12,60230007,"SCREW COUPLING ASSEMBLY (ENHANCED) TO RDSO SK NO. 99001, WITH ALTERATION 2 OR LATEST, AND AS PER SPECN. 9505. (THIS ITEM IS RESERVED FOR RDSO APPROVED SOURCES ONL",
16,60230007,"SCREW COUPLING ASSEMBLY (ENHANCED) TO RDSO SK NO. 99001, WITH  ALTERATION 2  OR LATEST , AND AS PER SPECN.9505.""",
12,60230019,SOLENOID VALVE BLOCK SET RDSO 9906 REV 2.M/S VIBHU PART NO.23000-3A,
12,60230020,SOLENOID VALVE BLOCK ASSEMBLY . RDSO 9906 REV. 2. M/S VIBHU PART NO.23000-3.,
12,60230032,POWER SUPPLY ( DC- DC CONVERTER ). : RDSO 9906 REV 2. M/S VIBHU PART NO.23000-09.,
12,60230044,TOILET BASIN EURO TYPE. : RDSO 9906 REV.2.M/S VIBHU PART NO.23003.,
12,60230056,AIR FILTER REGULATOR. RDSO C- 9906 REV.2.M/S VIBHU PART NO.23000-3B.,
12,60230068,MANUAL SWITCH INLET /OUTLET RDSO C 9906 REV. 2.M/S VIBHU PART NO.23000-5.,
8,60230070,VALVE BLOCK DOUBLE COIL,
12,60230070,VALVE BLOCK DOUBLE COIL (Y2). RDSO C- 9906 REV. 2.M/S VIBHU PART NO.23000-13.,
8,60230081,VALVE BLOCK SINGLE COIL,
12,60230081,VALVE BLOCK SINGLE COIL ( Y1 OR Y3). RDSO C -9906 REV. 2.M/S VIBHU PART NO.23000-12,
1,60230172,"SUPPORTING HOOK FOR SCREW COUPLING WITH BRACKET TO ICF DRG. NO. T-2-3-013, ALT-3 AND J. ITEM NO. 1, 2 AND 3.

MATERIAL AND SPECIFICATION AS PER DRAWING.",
3,60230172,"SUPPORTING HOOK FOR SCREW COUPLING DRAWING NO. T- 2- 3- 012, ALT.[M] & [2].",
5,60230172,"SUPPORTING HOOK FOR SCREW COUPLING WITH BRACKET / BG,",MAT SPECN - AS PER DRG.
6,60230172,"SUPPORTING HOOK WITH BRACKET FOR SCREW COUPLING IN ASSEMBLED CONDITION WITH RIVET DULY WELDED WITH BRACKET DRG. NO. T-2-3-013, ALTK/3(SMALL K) AND T-1-2-520 ALTN/33(SMALL N)",
12,60230172,"SUPPORTING HOOK FOR SCREW COUPLING WITH BRACKET TO DRG. NO. T-2-3-012, ALT-L & 2, ITEM NO. 1 & 2.",
16,60230172,SUPPORTING HOOK FOR SCREW COUPLING WITH BRACKET TO DRG. NO.-,
2,60230184,"SUPPORTING HOOK FOR SCREW COUPLING WITH BRACKET TO ICF'S DRG.NO-T-2-3-013, ITEM NO-1,2 & 3,ALT.NO-J/3 OR LATEST IN ASSEMBLED CONDITION.",
7,60230184,"SUPPORTING HOOK FOR SCREW COUPLING TO 
ICF DRG. NO. T-2-3-013  COL.I
 ALT .K/.3.",
9,60230184,"MOSDIFIED SUPPORTING HOOK FOR SCREW COUPLING TO  RDSO DRG.NO.SK-98120, ALT-NIL CONFORMING TO  MATERIAL SPECN.NO.IS:2062-2011, AMND-1 OF NOV-2012 E-250 C.","IS:2062-2011, AMND-1 OF NOV-2012 E-250 C."
10,60230184,"SUPPORTING HOOK FOR SCREW COUPLING WITH BRACKET TO ICF'S DRG. NO-T-2-3-013, ITEM NO-1,2 & 3,ALT.NO-J/3 IN ASSEMBLED CONDITION.",
99,60230184,"SUPPORTING HOOK FOR SCREW COUPLING WITH BRACKET TO ICF'S DRG.NO-T-2-3-013, ITEM NO-1,2 & 3,ALT.NO-J/3 OR LATEST IN ASSEMBLED CONDITION.",
9,60230196,"PIPE CONNECTION FOR WATER TANK AS PER  CWM/PL'S DRG NO.C/LF-237/C ALT.1 SUB ASSEMBLY-C  ITEM NO.8,9,10 REQUIRED WITH ASSEMBLY. NOTE:-MATERIAL TO LATEST VERSION OF B.I.S SPECN.",WR/C/LF/237C
9,60230202,"PIPE CONNECTION FOR WATER TANK AS PER CWM PL'S DRG NO.C/LF-237/C ALT-1  SUB- ASSEMBLY-D ITEM NO. 11,12,13 REQUIRED WITH  ASSEMBLY.",WR/C/LF/237-C
9,60230214,PIPE CONNECTION FOR WATER TANK AS PER CWM/PL'S DRG.NO.C/LF-237/C ALT-1  SUB ASSEMBLY-F ITEM NO. 17 & 18 REQUIRED  WITH ASSEMBLY. NOTE:-MATERIAL TO LATEST VERSION OF BIS SPECN.,WR/C/LF/237/C
4,60230226,COLLER 61X16 MM,
3,60230238,SCREW COUPLING ASSLY,
4,60230238,ENCHANCED CAPACITY SCREW COUPLING ASSEMBLY TO RDSO DRG. NO. SK-99001 ALT. 3 AND RDSO SPECN. NO. C-9505 REVISED OF AUGUST 2001,
7,60230238,SCREW COUPLING ASSEMBLY TO ICF DRG. NO. T-2-3-601 ALT Q/5,
9,60230238,SCREW COUPLING FOR ICF COACHES TO DRG.NO.T-2-3-601 ALT.M/3.,T-2-3-601
10,60230238,"SCREW COUPLING ASSEMBLY RDSO SK-99001, IT.- 1 TO 16, ALT.- 2, RDSO SPECN. C-9505.",
15,60230238,SCREW COUPLING,
5,60230240,"MODIFIED LEVER AND WEIGHT, SCREW COUPLING.",SPECIFICATION NO: IS:210&IS:2062 F410WA GR.FG150
6,60230251,"MS SNAP HEAD RIVET DIA 12 X 105 MM FOR SCREW COUPLING TO RDSO SK.99001, ALT.4,  ITEM 12.",
9,60230251,LINK FOR SCREW COUPLING TO DRG.NO.T-23603 ALT-H.,
13,60230251,MS SNAP HEAD DIA 12 X 105 MM FOR SCREW COUPLING ITEM 12 OF RDSO SK 99001,
5,60230263,BENT COUPLING LINK SCREW BG,
3,60230275,TRUNION RT HAND THREAD SCW CPG,
4,60230275,TRUNION (R.H) THREADED ) FOR ENHANCED CAPACITY SCREW COUPLING TO RDSO DRG. NO. SKETCH-99002 ALT.3. ITEM-6 AND RDSO SPEC. NO. C-9505 REV. AUGUST 2001.,
5,60230305,TRUNION R H THRD SCREW COUPLIN,
1,60230329,"PIN FOR SCREW COUPLING TO RDSO DRG. NO. SK-99002 ALT-5, ITEM NO. 8. MATERIAL SPECIFICATION AS PER DRAWING.

THIS ITEM IS RESERVED FOR PROCUREMENT FROM RDSO APPROVED SOUREC ONLY.",
2,60230329,"PIN DIA  60 X 218 FOR SCREW COUPLING FOR COACHING STOCK (ENHANCED CAPACITY) TO RDSO'S SK - 99002, ITEM NO. 8, ALT NO.4 (FOUR) AND RDSO'S SPEC. NO.C-9505 (REVISED) AUGUST 2001.",
3,60230329,PIN FOR SCREW COUPLING,
4,60230329,"PIN 060X218 FOR ENHANCED CAPACITY SCREW COUPLING TO RDSO DRG NO SKETCH -99002,ALT 3 ITEM 8  MATL AND SPECN NO:RDSO'S STR NO C-9505 (REV)",
5,60230329,PIN FOR SCREW COUPLING,
9,60230329,""" PIN FOR SCREW COUPLING TO RDSO DRG. NO. SK- 99002 ALT.5, ITEM NO.8.""",T23607ALTE
10,60230329,"PIN FOR SCREW COUPLING, DRAWING RDSO/SK-99002, ALT- 3, ITEM-8.",
12,60230329,PIN FOR SCREW COUPLING (ENHANCED) TO RDSO SK NO:,
13,60230329,"PIN FOR SCREW COUPLING SIZE-DIA 60X218MM TO RDSO DRG NO SK-99002 ALT 5 ITEM NO. 8 MATERIAL AND SPECIFICATION
AS PER DRAWING .",
99,60230329,"PIN DIA  60 X 218 FOR SCREW COUPLING FOR COACHING STOCK (ENHANCED CAPACITY) TO RDSO'S SK - 99002, ITEM NO. 8, ALT NO.4 (FOUR) AND RDSO'S SPEC. NO.C-9505 (REVISED) AUGUST 2001.",
7,60230330,BENT COUPLING FOR SCREW COUPLING,
5,60230342,LEVER & WEIGHT FOR SCREW COUPL,
1,60230421,"COLLAR FOR ENHANCED CAPACITY SCREW COUPLING TO RDSO DRG. NO. SK-99002  ALT- 5, ITEM NO. 9. MTRL AND SPECN AS PER DRG.
THIS ITEM IS RESERVED FOR PROCUREMENT FROM RDSO APPROVED SOUREC ONLY.",
2,60230421,"COLLAR DIA 84 X 30 FOR ENHANCED CAPACITY SCREW COUPLING TO RDSO'S SK.NO. 99002, ITEM NO. 9, ALT NO. 3 OR LATEST.",
3,60230421,"""COLLAR"" & 84 X 30MM TO ITEM-9 OF RDSO/SK-79068 ALT (7) & N.R. ALT (A) MAT & SPECN. AS PER DRG.",
99,60230421,"COLLAR DIA 84 X 30 FOR ENHANCED CAPACITY SCREW COUPLING TO RDSO'S SK.NO. 99002, ITEM NO. 9, ALT NO. 3 OR LATEST.",
1,60236071,"BENT COUPLING LINK TOGETHER TRUNION [L.H.THREAD]FOR ENHANCED CAPACITY SCREW COUPLING TO RDSO DRG NO SK-99002 ALT 5,ITEM NO 2 AND 5.
MATERIAL AND SPECIFICATION AS PER DRAWING.
THIS ITEM IS RESERVED FOR PROCUREMENT FROM RDSO APPROVED SOURCES ONLY.",
7,60236071,"BENT COUPLING LINK TOGETHER WITH TRUNNION [LH THREAD] IN ASSEMBLY CONFIRMING TO RDSO SPEC.NO C-9505 [REVISED] AND TO  RDSO DRG NO. RDSO.SK-99002-ITEMS-2 AND 5, ALT:5.",
9,60236071,"BENT COUPLING LINK WITH TRUNION NUT TO RDSO DRG. NO.SK-99001 ALT-4(OR LATEST), ITEM NO.2, FITTED  WITH ITEM NO.6(IN ASSEMBLED CONDITION)",RDSO-SK-99001 ALT-4
6,60236095,"ENHANCED SCREW COUPLING ASSEMBLY TO RDSO SK-99001, ALT-4, SPECN.NO. RDSO C-9505,(REV.2) AMDT.1 OF SEP 2016",
7,60236095,"SCREW COUPLING ASSEMBLY [ENHANCED] CONFORMING  TO RDSO SPEC.NO.C-9505,  [REVISED]-WITHOUT SUPPORTING HOOK,  TO RDSO/SK-99001, ITEMS- 1 TO 16,  ALT.4.",
11,60236095,SCREW COUPLING ASSEMBLY,
14,60236095,SCREW COUPLING ASSY. FOR COACHING STOCK  TO RDSO DRG..NO. SK-99001 ALT.4 AND RDSO SPECN.  NO. C 9505 REV. AUG. 2001.,
15,60236095,SCREW COUPLING ASSEMBLY  TO DRG.NO.RDSO SK.99001 ALT 4 TO RDSO SPCN C-9505 REVISED.,
24,60237002,SCREW COUPLING ASSEMBLY AS PER RDSO/SK-99001 ALT. '3',
7,60237014,SHACKLE PINIENHANCED S LOPLING,
6,60237026,"DRAFT KEY FOR ENHANCED SCREW COUPLING TO DRG NO.RDSO/SK-99006, ALT-2. SPECN.C-9509 (REV.2) OF FEB. 07.",
8,60237026,"SUPPORTING HOOK FOR SCREW COUPLING WITH BRACKET TO ICF'S DRG. NO. T-2-3-013, ALT. J/3, ITEM 1 TO 3 IN ASSEMBLED CONDITION. MATERIALS & SPECIFICATION : AS PER DRAWING .",
15,60237026,DRAFT KEY FOR ENHANCED SCREW COUPLING TO RDSO SK 99006 ALT-2 TO RDSO SPEC C-9509 REV-2,
15,60237038,"COLLAR DIA 84X30 MM TO RDSO (C) SK. NO. 99002, ALT-3, ITEM NO-9, SPECIFICATION IS: 2062-92 FE 410 W-C.",
3,60240001,"LADDER DRAWING NO. SCN5-6-4-506,ALT [G], COL.1.",
7,60240001,FOOT STEP ARRANGEMENT TO ICF DRG. NO. ICF/STD-2-4-001 COL-I AND II  ALT:P/NIL.,
12,60240001,SENSOR HOUSING COMPLETE. RDSO 9906 REV. 2. M/S VIBHU PART NO.24013.,
24,60240010,FOOT STEP AS PER RT24100,
3,60240013,FOOT STOP FOR BEMC COACHES,
12,60240013,TOILET BASIN ORIENT TYPE. RDSO 9906 REV. 2.M/S VIBHU PART NO.24002.,
24,60240020,FOOT STEP ARRGT. AS PER FA10146 ALT 'B',
12,60240025,WALL PROTECTOR. RDSO 9906 REV. 2.M/S VIBHU PART NO.24001.,
24,60240031,"FOOT STEP ARRANGEMENT FOR MYANMAR RAILWAY COACHES AS PER FA24100
PACKING INSTRUCTION NO PI011",
9,60240037,"''FOOT STEPS WITH CHEQUERED PLATE FOR BEML COACHES TO CWM(PL)""S DRAWING NO. C/BF-209/C; ALT NIL.''",
8,60240049,"FOOT STEP ARRAGMENT FOR STEPPING UP TO DISABLED COMPARTMENT IN SLRD COACHES. DRAWING NO- ICF/STD-2-4-001, ALT-N/NIL, CLO-III, ITEM 1 AND 5 IN ASSEMBLED CONDITION AND COL.-III, ITEM-6 AND COL.-V, ITEM-11 ARE LOOSE SUPPLY IN A COMPLETE SET.. MATERIAL AND SPECIFICATION- AS PER DRAWING.",
24,60240049,FOOT STEP ARRGT. AS PER AE10766 ALT 'NIL',
2,60240050,"FOOT STEP COMPLETE FOR BEML COACHES TO DRG.NO.4/2004/C&W/KPA, ALT.NO.-2",
8,60240050,"FOOT STEP ARRANGEMENT TO S.E.RLY. DRG. NO. 2288, ALT-NIL,IEM - 1,2 AND 4 IN ASSEMBLED CONDITION (QTY-30 PER CENT OF EMC) AND KGP -2253,ALT=NIL,ITEM-1,2 AND 4 IN ASSEMBLED CONDITION (QTY-70 PER CENT OF EMC).MATL. AND  SPECN.:- AS PER DRAWING.",
11,60240050,FOOT STEP ASSEMBLY COMP ICF,
24,60240050,FOOT STEP AS PER LB10491 ALT 'NIL',
99,60240050,"FOOT STEP COMPLETE FOR BEML COACHES TO DRG.NO.4/2004/C&W/KPA, ALT.NO.-2",
16,60240104,FOOT STEP COMPLETE FOR BEML COACHES,
1,60240116,"FOOT STEP ASSEMBLY FOR ICF COACHES TO ICF DRG. NO. ICF/STD-2-4-001, ALT. Q/NIL, COL.I, ITEM NO. 1,2 AND 3. MTRL AND SPECN AS PER DRG.",
12,60240116,"FOOT STEP ASSEMBLY FOR ICF COACHES TO DRG. NO. ICF/STD-2-4-001, ALT-N.ITEM 1 TO 4, COL. I & II.",
16,60240116,"FOOT STEP ASSEMBLY FOR ICF COACHES TO DRG. NO.-ICF/STD-2-4-001, ALT.-K, ITEM- 1 TO 4, COL- I & II.",
9,60244006,FOOT STEP SUPPORT TO DRG.NO.MG./T-2-4-001 ALT.P/5 COL.1,GT 24001
3,60246090,BOTTOM FOOT STEP,
5,60246090,FOOT STEP ARRANGEMENT FOR BG/ICF COACH.,MAT. SPEC:AS PER DRG.
9,60246106,"FOOT STEP ARRANGEMENT FOR SLRD COACHES AS PER DRG.NO. ICF/STD-2-4-001 ALT 'N'/NIL REQUIRED ITEM NO. 1,5,6,8,9,10 OF COLUMN III AND  ITEM NO.7 OF COLUMN NO. IV",ICF/STD-2-4-001
16,60246106,"FOOT STEP ASSEMBLY FOR DISABLE PASSENGER COMPARTMENT TO DRAWING NO. ICF/STD-2-4-001 ALT ""N"" COL-III & COL-IV.",
1,60246143,"CHEQUERED PLATE TO DRG. NO. ICF/STD-2-4-001, ALT-Q/NIL, ITEM NO. 3, COL-I.
MATERIALAND SPECIFICATION AS PER DRAWING.",
1,60246155,"CHEQURED PLATE 5 X 250 X 780 FOR FOOT STEP ARRGT TO DRG. NO. ICF/STD/2-4-001, ALT-P/NIL, ITEM NO.4, COL-II. 

MATERIAL AND SPECIFICATION AS PER DRAWING.",
2,60246167,"SET OF MODIFIED FOOT STEP FOR WHEEL CHAIR & FABRICATED FOOT STEP FOR WIDER DOOR WAY IN DMU COACHES CONSISTING OF 2(TWO)ITEMS ARE GIVEN BELOW:- (1) MODIFIED FOOT STEP FOR WHEEL CHAIR OF HANDICAPPED PERSON (SLR ICF COACHS)TO SK.NO.LLH-126/2003 ALT.NO.-NIL,QTY/KIT-2NOS(2)FABRICATED FOOT STEP FOR WIDER DOOR WAY IN DMU COACH TO SK.NO.LLH-40/94 ALT.NO.NIL,QTY/KIT-1 NO.",
99,60246167,"SET OF MODIFIED FOOT STEP FOR WHEEL CHAIR & FABRICATED FOOT STEP FOR WIDER DOOR WAY IN DMU COACHES CONSISTING OF 2(TWO)ITEMS ARE GIVEN BELOW:- (1) MODIFIED FOOT STEP FOR WHEEL CHAIR OF HANDICAPPED PERSON (SLR ICF COACHS)TO SK.NO.LLH-126/2003 ALT.NO.-NIL,QTY/KIT-2NOS(2)FABRICATED FOOT STEP FOR WIDER DOOR WAY IN DMU COACH TO SK.NO.LLH-40/94 ALT.NO.NIL,QTY/KIT-1 NO.",
2,60247007,"FOOT STEP ARRANGEMERNT TO DRG.NO. ICF/STD-2-4-001,COL-1,ALT.NO.-""N"" OR LATEST.",
8,60247007,"EMERGENCY OPENABLE WINDOW FOR NON-AC COACHES TO DRG. NO.ICF/STD-5-4-005, ALT.M/NIL, COL-I. MATL. & SPECN. : AS PER DRAWING.",
10,60247007,"FOOT STEP ARRANGEMENT COMPLETE AS PER ICF DRG. NO. ICF/STD-2-4-001, ALT-N, COL-I AND II.",
11,60247007,EMERGENCY OPENABLE WINDOW,
99,60247007,"FOOT STEP ARRANGEMERNT TO DRG.NO. ICF/STD-2-4-001,COL-1,ALT.NO.-""N"" OR LATEST.",
8,60247019,"CHEQUERED PLATE FOR FOOT PLATE OF BEML TO DRG. NO. KGP-1946, ALT.-NIL, ITEM-2. MATL. AND SPECN.: AS PER DRAWING.",
9,60247019,"""FOOT HOLD BRACKET TO RDSO DRG NO.SK-60199 ALT.6 """,RDS/SK/60199
13,60247019,FOLDING FOOT HOLD BRACKET,
24,60247019,TOP FOOT STEP AS PER ICF/STD-2-4-001 COL I ALT 'NIL',
9,60247020,"FOOT STEP ARRANGEMENT COMPLETE AS PER ICF DRG. NO.ICF/STD-2-4-001,ALT-N/NIL, COL-I & II. (QUANTITY SPECIFIED)",/BF-78/C ALT2
13,60247020,"FOOT STEP ARRANGEMENT  TO ICF DRG. NO.ICF/STD-2-4-001 WITH   ALT-N, ITEM NO. 1, 2,3,8,9,10 TO COL-1 AND ITEM NO. 4 TO COL-II .MATERIAL AND SPECIFICATION AS PER DRG.",
24,60247020,FOOT STEP ARRGT. AS PER ICF/STD-2-4-001 COL II ALT 'NIL',
24,60247044,FOOT STEP ARRANGEMENT AS PER LB24101 ALT E,
24,60247056,FOOT STEP ARRANGEMENT FOR METER GAUGE COACHES AS PER MS241 0 PART DRG. AS PER LIST NO. : 3535 DATE:-28/1 /2003 PACKING INSTRUCTION NO : PI1 0,
24,60247068,FOOT STEP ARRANGEMENT AS PER CC24105 ALT C AND MDTS0141,
24,60247070,FOOT STEP ARRANGEMENT AS PER ICF/SK-2-4-014 ALT A,
6,60247111,"FOOT STEP ASSEMBLY FOR ICF COACHES TO DRG NO.ICF/STD-2-4-001, ALT-Q/0, COL. L & LL.",
15,60247111,"FOOT STEP ARRANGEMENT ASSEMBLY COMPLETE TO ICF DRG.NO.ICF/STD-2-4-001 ,COL-I ALT.N, CONSISTING OF ITEM NO. 1,2,3,8,9,10 OF COL I AND ITEM NO. 4 OF COL II",
1,60247627,FOOT STEP CHANNEL TO DRG. J AND T MISC. SK-2272.,
16,60247627,FOOT STEPCHANNEL TO DRG.,
1,60247639,"FOOT STEP GUSSET TO  MISC. SK-2273 ALT-NIL.

MATERIAL AND SPECIFICATION AS PER DRAWING.",
16,60247639,FOOT STEP GUSSET (SM),
24,60250010,"VESTIBULE SLIDING DOOR ARRANGEMENT FOR MMSLR COACHES AS PER FC25100 ITEM NO. 1,4,5,7 & 9",
3,60250018,"VESTIBULE ARRANGEMENTS, TO ITEM AS PER COL. VII OF ICF/DRG T-2-5-601 ALT(L) & (12) MAT & SPECN AS PER DRG.",
7,60250018,VESTIBULE ARRANGEMENT COMPLETE,
13,60250018,VESTIBLUE COMPLETE,
3,60250020,GANGWAY  BRIDGE,
24,60250021,"VESTIBULE SLIDING DOOR MOUNTING ARRANGEMENT FOR MMR COACHES AS PER FA25117 ITEM NO. 1,4,5,7,9  & 17
PACKING INST.NO.PI014.",
5,60250031,"VESTIBULE BELLOWS WITH FRONT & REAR FRAME/BG DRG. NO.: T-2-5-603,ALT-H/3",
24,60250031,FOOT PLATE ARRANGEMENT FOR UIC VESTIBULE FOR CRASHWORTHY COACHES AS PER CC25467,
2,60250043,"LATERAL SIDE FLANGE (L.H. & R.H.) OF UIC VESTIBULE BELLOW TO RDSO SK NO.99056 ,ALT. NO.-3, CONSISTING OF ITEM NO. 3,4,6,7, 10 - 14,18 & 25 AND RDSO SPECN. NO.RDSO/2007/CG-05 OF JUNE 2007 WITH AMENDMENT SLIP NO.4 IN SEPT. 2015.",SAME AS ABOVE
24,60250043,"VESTIBULE ARRANGEMENT (UIC TYPE ),FOLLOW RDSO/2007/CG-05 WITH AMENDMENT SLIP NO.4 FOR ELASTOMER FLANGE. AS PER CC25220 ALT H",
3,60250067,RUNNER TO DRG.ND2001-241,
24,60250067,HORIZONTAL RUNNER AS PER T-2-5-166 ITEM 3 C,
24,60250158,DOOR PILLAR LH AS PER T-2-5-618 ITEM 1,
24,60250160,BOTTOM RAIL L-755 IN POCKET FOR VESTBULE SLIDING DOOR AS PER T-2-5-156 ITEM 1 ALT 'D' PROTECT AS PER PROTECTION PRO,
24,60250171,BOTTOM RAIL L-805 AS PER T-2-5-157 ITEM 1 ALT 'D' PROTECT AS PER PROTECTION PRO,
24,60250183,TOP COVER MOULDING 2.5X78X792 AS PER T-2-5-617 ITEM 1,
24,60250195,COVER MOULDING AS PER T-2-5-619 ITEM 1,
2,60250225,"COVERING STRIP TO SK NO.LLH-25/93, ITEM NO . 6, ALT. NO. 2.",
99,60250225,"COVERING STRIP TO SK NO.LLH-25/93, ITEM NO . 6, ALT. NO. 2.",
24,60250237,COVER MOULDING AS PER T-2-5-620 ITEM 1,
12,60250249,"FLAP DOOR ARRENGEMENT TO RDSO DRG. NO. WD-09081-S-01, ALT-NIL, ITEM NO.1,2,3,4,5,6,7,9,10,11,12,16,17,18 AND 19.",
5,60250304,LINK VESTIBULE SUSPENSION BG,
3,60250330,HELICAL SPRING FOR VESTIBULE SUSPENSION TO ITEM 1 OF ICF/DRG. T-2-5-652 ALT (B) & (4) MATL. & SPEC.A SPER DRG.,
5,60250330,HELICAL SPRING FOR VESTIBULE SUSPENSION,SPECIFICATION NO: MATL. &SPEC.A SPER DRG.
9,60250330,HELICAL SPRING,DRG NO 2.5.052
13,60250330,SPRING FOR VESTUBLE,
3,60250341,"""STOP PIECE"" FOR HELICAL SPRING TO ITEM-2 OF ICF DRG. T-2-5-653 ALT (D) & (5) MAT & SPECN. AS PER DRG.",
7,60250341,STOP PIECE FOR HELICAL SPRING VESTIBULE,
9,60250341,STOP PIECE,DRG NO 2.5.053
5,60250365,PIN FOR VEST SUSPENSION,
12,60250365,PIN FOR VESTIBULE SUSPENSION.,
5,60250377,PIN FOR VESTIBULE SUSPENSION/BG,
5,60250389,PIN FORVESTIBULE,
3,60250407,ADJUSTABLE HOOK FOR VESTIBULE SUSPENSION TO ITEM 2 TO 4 OF ICF/DRG.T-2-5-655 ALT (A) & (3) MATL & SPEC. AS PER DRG.,
5,60250407,ADJUSTER HOOK VESTIBULE,
