DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY,REST
,No,,,,,,,Size- 48 48 6 x6 2325 Size 48 48 18 x18 145 ,,A Set Bi Lingual Vinyl Sticker Destination Nos Multilingual Vinyl Sticker Valley Board 48 Pasting good adhesive quality coaches boards Detail per Annexure 
,No,,,,,,,consisting 02 size 80 -80mm 100 SS 316 ASA 150 WP 450 A 1 SS 316 size- 80 80mm 01 No 2 SS 316 316 100 mm- 01 ,qty Total 02 ,pair Ball Valve items Three piece design Gland Type SS Ball Stem renewable Teflon Seat Seals Flange end PSI Detail per annexure A Ball valve SS 316 Ball valve SS 316 No No ACE AUDCO JAU 
Drg No CDO/JP/16/03 ,No,,,,,,,M.S 33.5 ,,ID Dummy Plug Air Brake BP FP main pipe Train pipe LHB Coach As per coach care complex JP 
,No,,,,,,,L 550 550 550 W-550 670 model 22 ,,Single Burner Gas Bhatti stainless steel Fitted burner complete fitting per rough sketch enclosed material approved consignee supply 
drg No M1005854 ,No,,Item No.-5 ,,,Alt C DIN 3055,,cable 8 mm- 7 mm- 7 Length- 3000 3000 2 ,,Wire per RCF ISI Mark Toycon 
Drg No SK-1050-2 ,No,,,,,,,ST 1329 ,,Installation Lever Assembly Ball Socket Ends LHB Double Decker Coaches per Enclosed Reference RDSO 
,No,,,,,,,,,Electric Pneumatic tools As per enclosed detail Annexure A 
Drg MI005568 ,No,,,,,,,,,Outlet Slide Valve per Amit Vibhu Aikon similar 
drg JUDW/MECH/16-656 ,No,,item No 2 ,,,,,,,PU Pad Arm Rest Seat LHB Double Decker Coaches per 
Drg MI005145 ,No,,,,,,,,,Nylone wire type magazine bag LHB double decker train per RCF 
,No,,,,,,,Model 1 required 22 required 60 ,,Tyre Gauge PIE Hard Alloy steel plate used inspection condemn flange thickness root Radius sharp flange Deep flange thickness root Radius sharp flange deep flange flatness tread etc Wheel profile supplied carrying case Condemning thickness flat face required gauges supply calibration PIE Jyoti AOGE Ganapathy 
,No,,,,,,,consisting 09 ,,A set glassware consumable items detail per Annexure A 
,No,,,,,,,ID 2.5 Thickness- 4.5 4.5 -0.5 ,,PVC Transparent Pipe steel wire inside 
,No,,,,,,,color 8 size-ID-8mm 12 OD-12mm 20 long 1 long 2 Pressure- 10 Kg 2 ,,Recoiled Hose Polyurethane Tube blue Mtr BSP BSP Swivel nut Crimped side end Legric Parker Tufit 
,Yes,,,,,,,Container 250 Made 3 ,,Liquid Soap ML Transparent Plastic Bottle fitted Nozzle Hand Pump APD Cover Thick Hard Plastic per Drawing attached 
,No,,,,,,,,,Electric Pneumatic Pneumatic tools Make- Only As per enclosed detail Annexure A 
Drg No 2,No,,,,SK10.6176 ,,,G 2197 Drg 30400367 No 2 No 10.6176 No 30400367 ,,Flex Ball Cable KB FTIL Part Hepos Part No Suitable For Hand Brake LHB Power HEPOS KBI FTIL 
drg No M1005854 ,No,,Item No.-5 ,,,,,Size 8 Strands- 7 Strands- 7 Length- 3000 DIN 3055 Size 8 Strands- 7 Strands- 7 Length- 3000 DIN 3055 ,,Wire cable stainless steel As per RCF Wire cable Size 8 No Strands- 7x7 Length- 3000 Material Specs- DIN 3055 stainless steel As per RCF Alt C ISI available 
,No,,,,,,,height .4000 Dia .400 Width .24 dia 175 max 60 time 03 Part 2022 ,,Tower Cloth special Fabric polyester poly urethane treated cloth stitched bonded shape Cylindrical Shape inch Top supporting plate Inflation Illumination time . Equivalent Aska make inflatable Emergency Lighting towers 
,Yes,,,,,,,SIZE 475 SIZE 195 SIZE 5 ,,FROSTED GLASS TUFFEND MM AS PER DRAWING ENCLOSED 
,No,,,,,,,Part 2022 ,,Tower Cloth special Fabric polyester Equivalent Aska make inflatable Emergency Lighting towers 
,No,,,,,,,MTZ 72 HN 4 AVE 380 AVE 400 V 3 V 50 . 460 . 3 460-V3 3 460-V3 60 ,,Supply Installation commissioning Reciprocating compressor Refrigeration Including Gas oil charging suitable Soni Teck Make Air Dryer Model Hz . Danfoss similar Tech spec enclosed per Annexure A 
,No,,,,,,,Capacity 150 ,,Reverse Osmosis Ltr hour one year warrenty including consumable parts specification per fresh suitable 
Drg No CDO/JP/16/01 ,No,,,,,,,,,Arm Rest Logo made PVC LHB double decker train As per enclosed Sample approved consignee supply 
,No,,,,,,,Capacity- 500 Resolution 50 tolerance 10 percent 700 percent 700 ,,Electronic Weighing Scale platform class kg 
,No,,,,,,,IS 14609 ,,ISI Marked Dry Chemical Powder Fire Extenguisher ABC fire use per 
,No,,,,,,,Annexure 1 capacity 750 . 2 size 550 size 1000 boards 3 level 450 450mm 4 level 1200 1200 5 dia 200 . 6 ,,CBC Draft Gear Replacement equipment As per Hydraulic operated lifting table plain without sailing height ground Maximum table height ground level Trolley wheel . Suitable hand operated hydraulic pump operate hydraulic cylinder suitable draw bar 
Drg No 2,No,,,,SK10.6176 ,,,G 2197 Drg 30400367 No 2 No 10.6176 No 30400367 ,,Flex Ball Cable KB FTIL Part Hepos Part No Suitable For Hand Brake LHB Power HEPOS KBI FTIL 
drg ICF/SK-6-3-440 ,No,,,,,,,,,Air Refreshner Container Stainless steel Odonil container Perforated body Lid Secured chain two Hole Bottom As per 
,No,,,,,,,,,Welding Transformer As per Specification enclosed 
Drg.no JUDW/Mech/14-651 ,No,,Item no.5 ,,,,,,,Plastic Paddle multi stage foot rest arrangement seat LHB Shatabdi AC chair car per 
,No,,,,,,,SAE 15 W 40 CH 4 MB 228.3 ,,Engine Oil API IOCL BPCL HPCL similar 
,Yes,,,,,,,LD 61134 ,,Snack Table Knob complete double decker shatabdi train use per RCF drawing 
,No,,,,,,,capacity 2300 Motorola 328 model 328 ,,Set suitable Sanchar similar 
,No,,,,,,,Phase 220 Phase 240 Volt 50 Sweep 450 Watts- 360 Amp 1.7 E 18 18 1400 ,,Exhaust Fan Single Hz AC RPM Air Compressor Drier Havel Crompton . Usha Polar Khetan Bajaj 
,No,,,,,,,Annexure 1 capacity 750 . 2 size 550 size 1000 boards 3 level 450 450mm 4 level 1200 1200 5 dia 200 . 6 ,,CBC Draft Gear Replacement equipment As per Hydraulic operated lifting table plain without sailing height ground Maximum table height ground level Trolley wheel . Suitable hand operated hydraulic pump operate hydraulic cylinder suitable draw bar 
,No,,,,,,,L 550 550 550 W-550 670 model 22 ,,Single Burner Gas Bhatti stainless steel Fitted burner complete fitting per rough sketch enclosed material approved consignee supply 
,No,,,,,,,Model 1500 FXPO-XP1500 12 Volt 150 per 785 SAE-785 640 current 9 9A 508 x 222 W 257 ,,Heavy Duty Battery Fully charged specification Exide AH CCA Charging L Exide Emron Luminous Tata 
,No,,,,,,,specification 36 L 24 W 12 handle 15 body 2 2 24 made 40 made 40 made 6 T 2 angle 2 made 35 made 35 made 5 ,,Hand Trolley double wheel barrow As per deep deep opposite sheet dia section wheels M.S T 2 handle made MS 2 M.S legs made MS angle 
,No,,,,,,,color 8 size-ID-8mm 12 OD-12mm 20 long 1 long 2 Pressure- 10 Kg 2 ,,Recoiled Hose Polyurethane Tube blue Mtr BSP BSP Swivel nut Crimped side end Legric Parker Tufit 
,No,,,,,,,L 550 550 550 W-550 670 model 22 ,,Single Burner Gas Bhatti stainless steel Fitted burner complete fitting per rough sketch enclosed material approved consignee supply 
,No,,,,,,,ID 2.5 Thickness- 4.5 4.5 -0.5 ,,PVC Transparent Pipe steel wire inside 
,No,,,,,alt DWD014 ,,power 500 power 550 speed 0 speed 266 dia 10 steel- 8 wood 20 capacity 1 capacity 10 appx -1.5 Bosch 10 Decker 554 ,,Hand Drill Machine spec Input No load rpm Drilling Drilling dia Drilling dia Minimum chuck Dewblack 
,No,,,,,,,Spec 11 Capacity-Minimum 600 ,,Refill ACME Brand Automatic Hygiene Odour control system AHOC As per RDSO ACME AIROMA AIR CARE 
,No,,,,,,,S.S.Angel 24 Grade- 304 size- 25 size- 25 length 8 ,,Each 
Drg ICF/SK-6-3-481 ,No,,,,,,,Length- 650 650 02 S.S. 304 Item 6 6 7 ,,Stainless steel Ring S.S. As per 
,No,,,,,,,Specification 12 ,,Refill ACME Brand Automatic Odour control system AOC As per RDSO AIR CARE 
DRG NO LD 64120 ,No,,,,,,,SS 304 ,,SALOON SLINDING DOOR HANDLE GRADE AS PER RCF ENCLOSED 
DRG NO LW 56362 ,No,,,,,,,SS 304 ,,VESTIBULE DOOR HANDLE GRADE AS PER IRS ENCLOSED 
Drg MI005569 ,No,,,,,,,,,Flapper Valve Assembly Asper 
,No,,,,,,,ENCLOSED 3 SIZE 8 X 5 ,,VINYL STICKER PRINT INCH FOR CLEAN MY COACH AS PER SAMPLE 
Drg No CDO/JP/16/01 ,No,,,,,,,,,Arm Rest Logo made PVC LHB double decker train As per enclosed Sample approved consignee supply 
,No,,,,,,,IS 14609 ,,ISI Marked Dry Chemical Powder Fire Extenguisher ABC fire use per 
,No,,,,,,,consisting 02 size 80 -80mm 100 SS 316 ASA 150 WP 450 ,,pair Ball Valve items Three piece design Gland Type SS Ball Stem renewable Teflon Seat Seals Flange end PSI Detail per annexure A ACE AUDCO JAU Similar 
,No,,,,,,,jack 30 extension 100 Height 270 Height 285 lift 150 lift 200 Height 420 Height 485 dia 75 size 200 size 200 dia 146 dia 160 ,,Bottle ton capacity screw safety lock nut pump closed Hydraulic Total extended Height RAM approx Base body dia 
,No,,,,,,,,,DRDO ANAEROBIC BACTERIA INOCULUMS FOR BIO DIGESTERS Eligibility conditions As Per Annexure A 
Drg MI005568 ,No,,,,,,,,,Outlet Slide Valve per Amit Vibhu Aikon similar 
,No,,,,,,,ITEMS 1 MODEL 1 NOS 2 GAUGE.MODEL 1 PLATE 39 RULE 2.8 RULE .4 QTY 02 THICKNESS 22 REQUIRED-22MM 3 OF 952 TC 915 QTY 02 ,QTY 02 ,ONE SET CONSISTING THREE PIE BRAND WEAR MEASURING C W TO SOLID WHEEL DEMU S FOR TYRED WHEELS MADE HARD ALLOY HARDNED MEASURING POINTERS AND USED TO MEASURED FLANGE WEAR b ROOT WEAR cTREAD WEAR FLAT GAUGE COMES IN NICELY FINISHED WOODEN STORING PIE BRAND TYRE DEFECT GAUGE BG AS PER OF IRCA MADE OF HARD ALLOY STEEL FOR INSPECTION OF CONDEMN FLANGE ROOT RADIUS SHARP FLANGE DEEP FLANGE FLATNESS OF TREAD WHEEL PROFILE SUPPORTED IN CARRYING CASE CONDEMNING THICKNESS J GAUGE FOR DIA MEASURING OF DEMU DPC DTC STANDARD WHEEL DIA OF MM STANDARD WHEEL DIA OF TC QTY 02 
DRG.NO ICF/DMU/DPC/JK-S-1-014 ,No,,,,,,,,,WINDOW GLASS FOR HHP DMU AS PER TOUGHENED 
DRG.NO -DMU/JUC-M/BRAKE BEAM SLEEVE ATTACHED HEREWITH ,No,,,,,,,,,BRAKE BEAM SLEEVE FOR ICF TC DTC COACHES AS PER 
,No,,,,,,,MODEL 2507 NO 070301140 ,,CONNECTING ROD CRANK SHAFT ASSEMBLY WITH BEARING FOR AIR COMPRESSOR TO ELGI PART OR ITS EQUIVALENT 
,No,,,,,,,MODEL 2507 NO 070301140 ,,CONNECTING ROD CRANK SHAFT ASSEMBLY WITH BEARING FOR AIR COMPRESSOR TO ELGI PART OR ITS EQUIVALENT 
DRG.NO.WLRRM-0-4-003 ,No,,,,,ALT f AND 4 ,,,,BOGIE BOLSTER 
DRG NO WD-09034-,No,,ITEM NO.1 ,,,ALT.2 ,,RDSO 17 ,,BODY SIDE STANCHION MATERIAL TO BE PROCURED FROM RDSO APPROVED SOURCES ONLY 
DRG NO WD-11058-,No,,,,,ALT 4 ,,RDSO 01 NO 1 AND 2 ,,CENTRE SILL HAT SECTION OR LATEST SHEET MATERIAL TO BE PROCURED FROM RDSO APPROVED SOURCES ONLY 
,No,,,,,,,CONSISTING 03 ,,CRF SECTION FOR BOX N HL MBS WAGON ITEMS AS PER ANNEXURE ATTACHED MATERIAL SHOIULD BE PROCURED FROM RDSO APPROVED SOURCES 
,No,,,,,,,CONSISTING 34 ,,CRF SECTION FOR BOX N HL MBS WAGON ITEMS AS PER ANNEXURE ATTACHED MATERIAL TO BE PROCURED FROM RDSO APPROVED SOURCES ONLY 
,No,,,,,,,NO 50.1022 NO .05 ,,BEARING CAP TO HYT CODE OR ITS EQUIVALENT 
,No,,,,,,,NO 50.1003 NO .01 NO 02 NO 2 ,,TOOL TO HYT CODE OR ITS EQUIVALENT 
,No,,,,,,,NO 50.1003 NO .01 NO 02 NO 1 ,,TURNING TO HYT PART OR ITS EQUIVALENT 
,No,,,,,,,NO 50.1022 NO .06 ,,CAP TO HYT CODE OR ITS EQUIVALENT 
,No,,,,,,,NO 50.1003 NO .01 NO 02 NO 1 ,,FACING TO HYT PART OR ITS EQUIVALENT 
,No,,,,,,,NO 50.1004 NO .01 NO .02 NO 6 ,,OIL SEAL TO HYT PART OR ITS EQUIVALENT 
,No,,,,,,,NO 50.1004 NO .14 ,,SPACER FOR TAPER RING FOR DRIVE ROLLER SPACER HYT CODE OR ITS EQUIVALENT 
,No,,,,,,,NO 50.1003 NO .01 NO 02 NO 2 ,,TURNING TO HYT CODE OR ITS EQUIVALENT 
,No,,,,,,,NO 50.1003 NO .01 NO 02 NO 1 ,,TOOL TO HYT PART OR ITS EQUIVALENT 
,No,,,,,,,NO 50.1004 NO .09 ,,BEARING CAP TO HYT CODE OR ITS EQUIVALENT 
,No,,,,,,,NO 50.1003 NO .01 NO 02 NO 2 ,,FACING TO HYT PART OR ITS EQUIVALENT 
,No,,,,,,,ITEMS 1 MODEL 1 NOS 2 GAUGE.MODEL 1 PLATE 39 RULE 2.8 RULE .4 QTY 02 THICKNESS 22 REQUIRED-22MM 3 OF 952 TC 915 QTY 02 ,QTY 02 ,ONE SET CONSISTING THREE PIE BRAND WEAR MEASURING C W TO SOLID WHEEL DEMU S FOR TYRED WHEELS MADE HARD ALLOY HARDNED MEASURING POINTERS AND USED TO MEASURED FLANGE WEAR b ROOT WEAR cTREAD WEAR FLAT GAUGE COMES IN NICELY FINISHED WOODEN STORING PIE BRAND TYRE DEFECT GAUGE BG AS PER OF IRCA MADE OF HARD ALLOY STEEL FOR INSPECTION OF CONDEMN FLANGE ROOT RADIUS SHARP FLANGE DEEP FLANGE FLATNESS OF TREAD WHEEL PROFILE SUPPORTED IN CARRYING CASE CONDEMNING THICKNESS J GAUGE FOR DIA MEASURING OF DEMU DPC DTC STANDARD WHEEL DIA OF MM STANDARD WHEEL DIA OF TC QTY 02 
,No,,,,,,,ITEMS 1 MODEL 1 NOS 2 GAUGE.MODEL 1 PLATE 39 RULE 2.8 RULE .4 QTY 02 THICKNESS 22 REQUIRED-22MM 3 OF 952 TC 915 QTY 02 ,QTY 02 ,ONE SET CONSISTING THREE PIE BRAND WEAR MEASURING C W TO SOLID WHEEL DEMU S FOR TYRED WHEELS MADE HARD ALLOY HARDNED MEASURING POINTERS AND USED TO MEASURED FLANGE WEAR b ROOT WEAR cTREAD WEAR FLAT GAUGE COMES IN NICELY FINISHED WOODEN STORING PIE BRAND TYRE DEFECT GAUGE BG AS PER OF IRCA MADE OF HARD ALLOY STEEL FOR INSPECTION OF CONDEMN FLANGE ROOT RADIUS SHARP FLANGE DEEP FLANGE FLATNESS OF TREAD WHEEL PROFILE SUPPORTED IN CARRYING CASE CONDEMNING THICKNESS J GAUGE FOR DIA MEASURING OF DEMU DPC DTC STANDARD WHEEL DIA OF MM STANDARD WHEEL DIA OF TC QTY 02 
,No,,,,,,,ITEMS 1 MODEL 1 NOS 2 GAUGE.MODEL 1 PLATE 39 RULE 2.8 RULE .4 QTY 02 THICKNESS 22 REQUIRED-22MM 3 OF 952 TC 915 QTY 02 ,QTY 02 ,ONE SET CONSISTING THREE PIE BRAND WEAR MEASURING C W TO SOLID WHEEL DEMU S FOR TYRED WHEELS MADE HARD ALLOY HARDNED MEASURING POINTERS AND USED TO MEASURED FLANGE WEAR b ROOT WEAR cTREAD WEAR FLAT GAUGE COMES IN NICELY FINISHED WOODEN STORING PIE BRAND TYRE DEFECT GAUGE BG AS PER OF IRCA MADE OF HARD ALLOY STEEL FOR INSPECTION OF CONDEMN FLANGE ROOT RADIUS SHARP FLANGE DEEP FLANGE FLATNESS OF TREAD WHEEL PROFILE SUPPORTED IN CARRYING CASE CONDEMNING THICKNESS J GAUGE FOR DIA MEASURING OF DEMU DPC DTC STANDARD WHEEL DIA OF MM STANDARD WHEEL DIA OF TC QTY 02 
,No,,,,,,,size 3 3 1 3 -1.1 3 2 x1-1.1/2 6.1 x1-1.1/2 2 confirm 3314 confirm 1984 IS:3314/1984 2005 sheet 0.8 ,,Lockers grey colour eight lockers number plate locker feet locker hand door shall Thickness KEC Delite 
,No,,,,,,,size 3 3 1 3 -1.1 3 2 x1-1.1/2 6.1 x1-1.1/2 2 confirm 3314 confirm 1984 IS:3314/1984 2005 sheet 0.8 ,,Lockers grey colour eight lockers number plate locker feet locker hand door shall Thickness KEC Delite 
,No,,,,,,,No 1030605 ,,Knuckle Pivot Pin Dellner Coupler Part 
,No,,,,,,,No 1020212 ,,Plate Dellner Coupler Part 
,No,,,,,,,No 1037473 ,,Wing Pocket Guide Gauge Deller Coupler Part 
,No,,,,,,,No 1020223 ,,Compression Spring Dellner Coupler Part 
Drg.No SK-613 ,No,,,Amendement No 1 ,,,Rev-2 ,Spec.No 009 ,,Rotary Lock Lift Assy Coupler Head ESCORTS Confirming 
,No,,,,,,,capacity 20 molygraph 180 specification 1 smooth 2 yellowish 3 mineral 4 calcium 5 penetration 265 265 295 295 6 range 20 -20/ 140 ,,Grease packing tin make equivalent Appearance colour base oil base lithium worked operating temp 
Drg.no.SCR/C W/ Sketch No.1211/,No,,Item No 1 ,,,,,No 3 item 4 No 5 ,,Barrel lock per C Item Item No 
Drg No.ICF SK-6-3-425 ,No,,item No.8 ,,,alt 07 2009 ,,,,SPRING push type Flushing valve per latest 
,No,,,,,,,VALVE 25 specification 1 IS 6912 Gr 2 steel 1367 steel 3 steel 1367 steel 4 steel 2062 steel 5 IS 6912 6912 6 EN 12086 EN 1 EN 7 IS 6912 6912 8 EN 12086 EN 1 EN 9 IS 6912 ,,BRASS BALL Screwed female ends ZOLOTO L T AUDCO per Specification part name material Stem Forged Brass IS Carbon Washer Carbon steel Carbon steel Body Gland Nut Forged Brass IS 6912 Gland packing PTFE BS Forged Brass IS 6912 Body seat Ring PTFE BS EN Forged Brass IS 6912 Technical leaflet model warranty valve test certificates submitted 
Drg.No.WD-92081-,No,,,,,Alt.1 ,,RDSO 54 ,,Double acting air cylinder cylinder door operating mechanism BOBRN WAGONS per 
,Yes,,Item No 2 ,,,,,CG-K6070 15 No.RDSO/Sketch 6070 ,,Gravity type spring loaded water tap 
DRG No ADME/CBE/D/C-014 ,No,,,,,,,,,Bracket assembly complete vestibule garbage bag per 
,No,,,,skid 3. ,,,size 750 x 1460 specifications 1 resin 2 inch 6 /- 5 percent 4 inch 48 approx 10 percent 5 bud 08 nos 6 height 14 14mm 2 /-2mm 7 ,,Door mats synthetic make DURO Material synthetic lay latex budding anti flower per sq numbers No leaves per sq inch approx percent 5 No leaves per bud nos pile sides PVC beading 
,No,,,,,,,height 45 width 20 minimum 40 capacity 25 ,,Opaque leak proof disposable polythene covers size inches inches minimum minimum microns carrying kg minimum 
,No,,,,,,,Allied 54 ,,HeHealth faucet Tube Hook similar model ACCO make 
,No,,,,,,,OKC 50 OKC 90 ,,Connector Female suit distribution box ESABE make multi operated Welding Plants 
,No,,,,,,,No 166263 ,,Free Slack Contour Gauge Dellner Coupler Part 
,No,,,,,,,size 0.61 X 15 Specification 1 material 2 dia 0.6 0.6mm 3 base 2 2mm 4 thickness 12 /- 2 ,,Poly grass mat Soft type Red Colour meters per Roll make Duro soft Ultimate Prestige Synthetic 2mm 
,No,,,,,,Rev Amnd.2 ,size 700 x 900 x 5 IS 3438 IS 94 per .2835 per 87 ,,Mirror x thickness outside wash basin LHB coaches spec No secons Third Rev 
Drg No.ICF SK-6-3-425 ,No,,item No.11 ,,,alt 07 2009 ,,,,WASHER push type flushing valve per latest 
Drg.No.ICF/SK-6-3-425 ,No,,item No.10 ,,,ALT M 07/2009 ,,dia 30 x 3 ,,Washer push type flushing valve AS PER LATEST 
,No,,,,Sketch-K1054 ,,,SAE 100 100 3 R3 550 long 3 long 4 ,,Hose Connection Air Spring Suspension BSP female Swivel nut parallel threads ends per RDSO Note To procured Approved sources ICF RDSO Air Brake hose coupling coaching stock INSPECTION BY RITES 
DRG No SK-1650 ,No,,,Amendment No 1 ,,,Rev-2 ,No 009 ,,Knuckle thrower coupler head Escorts Confirming RDSO Spec 
,No,,,,,,,No 70221 No 1 type 2 ,,Modified Holding Magnet Valve Part suitable Electro Pneumatic brake unit Modified WSF Make 
,No,,,,,,,No 727857000 ,,Front support part spring cartridge assembly 
,No,,,,,,,No 1037450 ,,Wing Pocket Guard Arm Gauge Dellner Coupler Part 
Drg No WD-88123-,No,,,Amend No 03 ,,alt.-02 ,,No 02 No 02 April 10 D 01 ,,Cutt Off Angle Cock Vent Freight Coaching Stock Confirming RDSO Spec Appendix Note RDSO Approved sources quote 
,No,,,,,,,No 75550 No 1 ,,Feed Valve F Type Complete WSF Part WSF Make Brake Controller 
,No,,,,,,,type 400 No 200 No 2002 No 001 ,,Transformer Crocodile Amps Capacity Heavy duty earth clamp Esabe Make Item Code Make Wel Spring ESAB Ador 
,No,,,,,,,Kit 3238204 consists 1 Filter 1 ,,Element Lube Oil Ring Cummins Part No Kit One Kit No 1 No Ring Make Authorised dealer RDSO Approved source quote 
,No,,,,,,,No 3879488 Consists 1 Filter 1 ,,Kit Super By Pass Element Ring Cummins Part One Kit No Filter 1 No Ring Make Authorised Dealer RDSO Approved sources quote 
,No,,,,,,,Kit 3238493 consists 1 Filter 1 ,,Fuel Ring Part No Kit One Kit No Filter 1 No Ring Make Cummins Authorized dealers RDSO Approved Sources quote 
,No,,,,,,,No 166263 ,,Free Slack Contour Gauge Dellner Coupler Part 
,No,,,,,,,Drum 400 No 066 No 125 Traversor 70 Model 066 ,,Brake Part suitable Surface Cap Make Unique Material 
Drg.No SK-73549.,No,Specn 02-ABR-02 ,,Amendement No 3 ,,,,Valve 8 ,,Guards Emergency Brake dia choke let port confirming RDSO No 
,No,,,,,,,11422a 1 11422a 2 Type 1 set 4 4 2 No 70443 No 3 No 4 4A 11422 ,,Inch Safety Valve WSF Part M/s Escorts Part No 
Drg.No SK-97017 ,No,,,,SK.NO 97018 ,Alt-02 ,,Spec .02 Spec 02 consisting 06 -RDSO 1 Sheet-1 4 Alt-4 2 Item-2 319 R 1 R 2 SK.NO 97017 97017 2 ALT-2 20 Item-20 910 DIN:910 01 Plug 3 Plug 8 SK.No 97017 97017 2 Alt-2 22 item-22 910 /qty/Kit 01 SK.No 97018 97018 2 Sheet-2 4 Alt-4 11 IS 513 IS 0 IS 14 Qty/Kit 01 Ref .97018 RDSO.SK.No.97018 2 Sheet-2 4 Alt-4 1 BS 970 970 8 BIS 2062 2062 410 QTY/KIT 01 dia 5.5 SK.No 97017 97017 2 Alt-2 17 IS 2016 Qty/Kit 06 ,Qty/Kit 01 ,Set Maintenance Spares Overhauling Passenger Emergency Alarm Signal Devic Items per detailed descirption HARD HD b Locking Screw RDSO c rg RDSO 97017 DIN:910 Cove Drg.Ref RDSO SK.No Alt-4 01 e Roller Drg Ref Sheet-2 Alt-4 ALT f Washer Drg.Ref RDSO SK.No 97017 Alt-2 IS Qty/Kit 06 -RDSO Approved vendors need quote 
,No,,,,,,,11422a 1 11422a 2 type 1 set 1.8 1.8 2 No 70443 No 4 No 4 4A 11422 ,,inch Safety Valve WSF Part M/s Escorts Part No 
Drg.no EMU/M-0-2-005 ,No,,,,,Alt-n ,,ICF 1 ,,Collar Axle Box Roller Bearing arrangement 
,No,,,,,,,SIZE 25 VALVE 25 25 1 IS 6912 FLB 2 IS 1367 1367 3 IS 1367 1367 4 IS 2062 2062 5 IS 6912 FLB 6 BS 12086 BS 1 EN:12086-1 7 IS 6912 Gr.FLB 8 BSEN 12086 BSEN 1 12086-1 9 IS 6912 ,,ISI MARKED BRASS BALL OF SCREWED FEMALE ENDS LEVER OPERATED ONLY SPECIFICATION FOR BRASS BALL VALVE NAME OF THE PART STEM MATERIAL FORGED BRASS SPECIFICATION Gr NAME OF THE PART NUT MATERIAL CARBON STEEL SPECIFICATION IS NAME OF THE PART WASHER MATERIAL CARBON STEEL SPECIFICATION IS 1367 NAME OF THE PART LEVER MATERIAL CARBON STEEL SPECIFICATION IS NAME THE PART BODY IS 6912 Gr FLB NAME OF THE PART GLAND PACKING MATERIAL PTFE SPECIFICATION NAME OF THE PART BALL MATERIAL FORGED BRASS SPECIFICATION IS 6912 NAME OF THE PART BODY SEAT RING MATERIAL PTFE SPECIFICATION OF THE PART BONNET MATERIAL FORGED BRASS SPECIFICATION IS 
,No,,,,,,,Coupling 104 Traversor 70 Model 066 ,,Full Gear suitable Surface Ton Material Handlers Pvt Ltd 
,No,,,,,,,EHT 300 EHT 18 Traverson 70 Model 066 ,,Brake suitable Surface Ton Cap Make Unique Material Handlers Pvt Ltd 
,No,,,,,,,Plates 12 No 1613 ,,Clutch dia Ceramic TATA Lorry Model 
Drg No M1005986 ,No,,,,,,,,,Opening Machanism Ball Retention tank Opening Machanism Ball Valve Bio-Toilet Retention tank RCF Performance item enclosed firms otherwise offer passed Preferred 
,No,,,,,,,Dia 300 No 005 No 124 Traversor 70 Model 066 ,,Brake Drum Part suitable Surface Ton Cap Make Unique Material Handlers Pvt Ltd 
Drg.No ICF/MRVC/M-6-2-002 ,No,,,,,Alt- g ,,,,Luggage Rack Complete 
DRG NO ST 971207 ,No,,,,,,,NO 70160 NO 70160 ,,TWIST HEAD FOR AUTOMATIC TWIST LOCK OF BLC WAGONS AS PER HOLLAND PART AND SANROK PART NO 70160 
Drg.No SCR/C W/Sketch No 1212/,No,,,,,,,C 1 C 1 ,,Bottom Liner For Lower Hytrel Washer Primary Suspension M.S Bottom Liner For Lower Hytrel Washer Primary Suspension C item-1 Inspection BY 
Drg.No.CLW ES I 25 ,Yes,,,,,,,-- 026 -- 148 -- 070 ,,OHE power presence absence indicator eight wheeler tower car DETC As per specification -- DTI -- 
,No,,,,,,,Kit 3238204 consists 1 Filter 1 ,,Element Lube Oil Ring Cummins Part No Kit One Kit No 1 No Ring Make Authorised dealer RDSO Approved source quote 
,No,,,,,,,RING 105 RING 130 RING 12 RCF .33590631 ,,SEALING TO 
,No,,,,,,,IN 250 ,,SOFT GENTLE LIQUID SOAP FILLING PLASTIC CONTAINER WITH PUMP AND NOZZLE IN ml NET 
DRG No SK-612 ,No,,,Amendment No 1 ,,,Rev-2 ,No 009 ,,Lock coupler head Escorts Comfirming RDSO Spec 
DRG No SK-575 ,No,,,Amendment No 1 ,,,Rev.-2 ,No 009 ,,Main pin knuckls Escorts confirming RDSO SPEC 
Drg No.SC/Chg Misc./01/2015 ,No,,,,,,rev.00 ,per .9 ,,Vinyle stickers pasted Acrylic sheet Transparent coaches 
Drg No.SC/Chg Misc./01/2015 ,No,,,,,,rev.00 ,per .14 ,,Vinyle stickers pasted acrylic sheet Transparent coaches 
,No,,,,,,,Oil 3 Bottle 01 ,,Heavy Duty Brake Clutch Fluid Suitable Brake Clutch System expecpt Mineral Oil System Make Castrol TVS Grilling Each Liters 
,No,,,,,,,RING 105 RING 130 RING 12 RCF .33590631 ,,SEALING TO 
,No,,,,,,,packing 1680 size.height 35 length 25 breadth 17 ,,Bags bed roll nylon matte water inches x inches x inches 
,No,,,,,,,HEAD 4901 ,,HP PRINT 
