"ITEM_CODE","DESCRIPTION"
"3098","Wire cable, Size: 8 mm, No. of Strands- 7x7, Length- 3000 mm, Material Specs- DIN 3055, stainless steel, As per RCF drg. No. M1005854 Alt C, Item No.-5, ISI Mark, Make- any available."
"3098","Tower Cloth special Fabric polyester poly urethane treated cloth stitched and bonded shape, Cylindrical Shape height min.4000 mm, Dia. min.400 mm, Width min.24 inch, Top supporting plate dia. 175 mm, Inflation time max 60 sec., Illumination time 03 min., Part no. FAB/2022 or Equivalent for Aska make inflatable Emergency Lighting towers."
"3098","FROSTED GLASS TUFFEND, SIZE - 475X195X5 MM, AS PER DRAWING ENCLOSED"
"3098","Tower Cloth special Fabric polyester Part no. FAB/2022 or Equivalent for Aska make inflatable Emergency Lighting towers."
"3098","Supply , Installation and commissioning of Reciprocating compressor for Refrigeration Including Gas and oil charging suitable for Soni Teck Make Air Dryer , Model no. MTZ 72 HN 4 AVE 380-400 V, 3-50 Hz., 460-V3 3-60 Hz., Make- Danfoss or similar, Tech. spec. enclosed as per Annexure A."
"3098","Reverse Osmosis plant for RR/JAIPUR of Capacity 150 Ltr per hour, with one year warrenty including consumable parts specification as per annexure-A, Make- Epcon/Aqua/JMK fresh or any other suitable."
"3098","Arm Rest Logo made of PVC for LHB double decker train As per Drg. No. CDO/JP/16/01 enclosed , Sample to be approved by consignee before supply. "
"3098","Electronic Weighing Scale platform of class II, Capacity- 500 kg, Resolution 50 gm. pan/platform tolerance - 10 percent 700x700 mm."
"3098","ISI Marked Dry Chemical Powder for Fire Extenguisher ABC fire use as per IS: 14609"
"3098","CBC and Draft Gear Replacement equipment As per Annexure :- 1 . Hydraulic operated lifting table capacity 750 kg., 2 .Platform size 550x1000 mm plain without any sailing on boards. 3 .Minimum height from ground level 450mm, 4 . Maximum table height from ground level 1200 mm. 5 . Trolley wheel dia. 200 mm., 6 . Suitable hand operated hydraulic pump to operate hydraulic cylinder suitable draw bar."
"3098","Flex Ball Cable , G 2197mm , KB Drg. No. 2SK10.6176,FTIL Drg. No.A30400367 Part No. 2SK10.6176, Hepos Part No. A30400367, Suitable For Hand Brake of LHB Power Car , Make- HEPOS, KBI, FTIL."
"3098","Air Refreshner Container , Stainless steel , Odonil container Perforated body with Lid, Secured by chain and two Hole in Bottom . As per drg. no. - ICF/SK-6-3-440"
"3098","Welding Transformer As per Specification enclosed "
"3098","Plastic Paddle for multi stage foot rest arrangement of seat for LHB Shatabdi AC chair car as per Item no.5 of Drg.no. JUDW/Mech/14-651"
"3098","Engine Oil SAE 15 W, 40 API CH 4 and MB 228.3, Make- IOCL, BPCL, HPCL or similar."
"3098","Snack Table Knob complete for double decker and shatabdi train use , as per RCF drawing no. LD 61134."
"3098","Battery for Walkie-Talkie Set having capacity 2300 mAh Ni-Mh suitable for Motorola GP-328 , Make- Sanchar model no. STK-328EH or similar"
"3098","Exhaust Fan Single Phase, 220-240 Volt, 50 Hz, AC , Sweep 450 mm, Watts- 360, Amp 1.7, Class- E, 18 /1400 RPM , for Air Compressor Drier Use., Make- Havel s, Crompton, Marathon.,Usha, Polar, Khetan, Bajaj."
"3098","CBC and Draft Gear Replacement equipment As per Annexure :- 1 . Hydraulic operated lifting table capacity 750 kg., 2 .Platform size 550x1000 mm plain without any sailing on boards. 3 .Minimum height from ground level 450mm, 4 . Maximum table height from ground level 1200 mm. 5 . Trolley wheel dia. 200 mm., 6 . Suitable hand operated hydraulic pump to operate hydraulic cylinder suitable draw bar."
"3098","Single Burner Gas Bhatti stainless steel body , size- L 550 mm, W-550, H-670 mm, Fitted with burner , model C-22 and complete fitting as per rough sketch enclosed, material should be approved by consignee before supply."
"3098","Heavy Duty Lead -Acid Battery, Fully charged, specification:- Exide Model FXPO-XP1500, 12 Volt, 150 AH , CCA as per SAE-785, IEC-640, Charging current - 9A, Size-508 mm L , x 222mm W , X257 mm H , Make- Exide, Emron, Luminous, Tata."
"3098","Hand Trolley double wheel barrow , As per specification:- Size:36 L x24 W x12 deep at handle x15 deep at opposite end, M.S. sheet body with 2 no s 24 dia T section wheels, made from 40x40x6 mm M.S. T and 2 no s handle made from MS angle and 2 no s M.S. legs made of 35x35x5 mm MS angle."
"3098","Recoiled Hose Polyurethane Tube, blue color, size-ID-8mm, OD-12mm, Length-20 Mtr. long with 1/2 BSP BSP Swivel nut Crimped on both side end, Working Pressure- 10 Kg cm2, Make- Legric, Parker, Tufit."
"3098","Single Burner Gas Bhatti stainless steel body , size- L 550 mm, W-550, H-670 mm, Fitted with burner , model C-22 and complete fitting as per rough sketch enclosed, material should be approved by consignee before supply."
"3098","PVC Transparent Pipe with steel wire inside ID 2.5 , Thickness- 4.5 mm -0.5 mm."
"3098","Hand Drill Machine , spec. Input power 500/550W , No load speed 0-266 rpm, Drilling dia in concrete-10 mm, Drilling dia in steel- 8 mm, Drilling dia in wood -20 mm, Minimum chuck capacity -1-10 mm, appx. weight-1.5 kg., Make- Bosch GSB10RE , Dewalt DWD014 , black and Decker KR554RE ."
"3098","Refill for ACME Brand Automatic Hygiene and Odour control system AHOC , As per RDSO Spec. no. RDSO/CG-11, Capacity-Minimum 600 ml. , Make- ACME, AIROMA, AIR CARE."
"3098","S.S.Angel , 24 SWG, Grade- 304, size- 25x25 mm. Each length 8 feet."
"3098","Stainless steel Chain Length- 650 mm, with 02 No s S.S. Ring on both Ends, S.S. Grade-304. As per Item no. 6 and 7 of Drg. no. ICF/SK-6-3-481"
"3098","Refill for ACME Brand Automatic Odour control system AOC , As per RDSO Specification no. RDSO/CG-12, Make- ACME/AIROMA, AIR CARE."
"3098","SALOON SLINDING DOOR HANDLE, GRADE - SS -304, AS PER RCF DRG. NO. LD 64120 ENCLOSED."
"3098","VESTIBULE DOOR HANDLE , GRADE - SS 304, AS PER IRS DRG. NO. LW 56362 ENCLOSED."
"3098","Flapper Valve Assembly Asper RCF Drg. no. MI005569, Make- Amit/ Vibhu/Aikon./Similar."
"3098","3M VINYL STICKER, PRINT SIZE - 8 X 5 INCH, FOR CLEAN MY COACH. AS PER SAMPLE ENCLOSED"
"3098","Arm Rest Logo made of PVC for LHB double decker train As per Drg. No. CDO/JP/16/01 enclosed , Sample to be approved by consignee before supply. "
"3098","ISI Marked Dry Chemical Powder for Fire Extenguisher ABC fire use as per IS: 14609"
"3098","A pair of SS Ball Valve , consisting 02 items. size -80mm and 100mm, Three piece design Gland Type with SS 316 Ball and Stem, renewable Teflon Seat and Seals Flange end to ASA 150 WP 450 PSI , Detail are as per annexure A , Make- ACE, AUDCO, JAU or Similar"
"3098","Bottle jack 30 ton capacity having screw extension up to 100 mm with safety lock nut and pump closed Height :270-285 mm, Hydraulic lift: 150-200 mm, Total extended Height 420-485 mm, RAM dia 75 mm approx, Base size 200x200 mm, body dia 146-160mm."
"3098","DRDO ANAEROBIC BACTERIA INOCULUMS FOR BIO DIGESTERS , Eligibility conditions As Per Annexure A ."
"3098","Outlet Slide Valve as per RCF Drg. no. MI005568, Make- Amit, Vibhu,Aikon. or similar."
"3098","ONE SET CONSISTING THREE ITEMS 1 PIE BRAND TREAD WEAR MEASURING GAUGE MODEL TWG-1 C and W TO SOLID WHEEL DEMU S FOR TYRED WHEELS,MADE OF HARD ALLOY STEEL HARDNED MEASURING POINTERS AND USED TO MEASURED FOLLOWINGS:-a FLANGE WEAR b ROOT WEAR cTREAD WEAR d FLAT TYRE .THE GAUGE COMES IN NICELY FINISHED WOODEN STORING QTY. 02 NOS. 2 PIE BRAND TYRE DEFECT GAUGE /CONDEMNING GAUGE.MODEL TDG-1 BG AS PER PLATE 39 RULE 2.8.4 OF IRCA MADE OF HARD ALLOY STEEL PLATE.USED FOR INSPECTION OF CONDEMN FLANGE THICKNESS ,ROOT,RADIUS,SHARP FLANGE,DEEP FLANGE,FLATNESS OF TREAD ETC.OF WHEEL PROFILE,SUPPORTED IN CARRYING CASE. QTY. 02 NOS.NOTE:- CONDEMNING THICKNESS REQUIRED-22MM 3 J GAUGE FOR DIA MEASURING OF DEMU DPC,TC,DTC STANDARD WHEEL DIA OF DPC-952 MM STANDARD WHEEL DIA OF TC and DTC-915MM QTY. 02 NOS.."
"3098","WINDOW GLASS FOR HHP DMU AS PER DRG.NO. ICF/DMU/DPC/JK-S-1-014 TOUGHENED "
"3098","BRAKE BEAM SLEEVE FOR ICF,TC,DTC COACHES AS PER DRG.NO:-DMU/JUC-M/BRAKE BEAM SLEEVE ATTACHED HEREWITH "
"3098","CONNECTING ROD and CRANK SHAFT ASSEMBLY WITH BEARING FOR AIR COMPRESSOR MODEL TRC-2507 TO ELGI PART NO. 070301140 OR ITS EQUIVALENT."
"3098","CONNECTING ROD and CRANK SHAFT ASSEMBLY WITH BEARING FOR AIR COMPRESSOR MODEL TRC-2507 TO ELGI PART NO. 070301140 OR ITS EQUIVALENT."
"3098","BOGIE BOLSTER ARRANGEMENT DRG.NO.WLRRM-0-4-003,ALT f AND 4 ,COL-II"
"3098","BODY SIDE STANCHION RDSO DRG. NO. WD-09034-S-17 ALT.2, ITEM NO.1 MATERIAL TO BE PROCURED FROM RDSO APPROVED SOURCES ONLY"
"3098","CENTRE SILL HAT SECTION RDSO DRG. NO. WD-11058-S-01 ALT. 4 OR LATEST - SHEET NO. 1 AND 2 MATERIAL TO BE PROCURED FROM RDSO APPROVED SOURCES ONLY"
"3098","CRF SECTION FOR BOX N HL MBS WAGON CONSISTING 03 ITEMS AS PER ANNEXURE ATTACHED MATERIAL SHOIULD BE PROCURED FROM RDSO APPROVED SOURCES"
"3098","CRF SECTION FOR BOX N HL MBS WAGON CONSISTING 34 ITEMS AS PER ANNEXURE ATTACHED MATERIAL TO BE PROCURED FROM RDSO APPROVED SOURCES ONLY"
"3098","BEARING CAP TO HYT CODE NO. 50.1022.05 OR ITS EQUIVALENT"
"3098","TOOL HOLDER L.H. TO HYT CODE NO. 50.1003.01/02/B2 OR ITS EQUIVALENT"
"3098","TURNING CASSETTE R.H. TO HYT PART NO. 50.1003.01/02/B1 OR ITS EQUIVALENT."
"3098","ANGLE RING/END CAP TO HYT CODE NO. 50.1022.06 OR ITS EQUIVALENT"
"3098","FACING CASSETTE R.H. TO HYT PART NO. 50.1003.01/02/B1 OR ITS EQUIVALENT"
"3098","OIL SEAL TO HYT PART NO. 50.1004.01.02/B6 OR ITS EQUIVALENT"
"3098","SPACER FOR TAPER RING FOR DRIVE ROLLER SPACER HYT CODE NO. 50.1004.14 OR ITS EQUIVALENT"
"3098","TURNING CASSETTE L.H. TO HYT CODE NO. 50.1003.01/02/B2 OR ITS EQUIVALENT"
"3098","TOOL HOLDER R.H. TO HYT PART NO. 50.1003.01/02/B1 OR ITS EQUIVALENT."
"3098","BEARING CAP TO HYT CODE NO. 50.1004.09 OR ITS EQUIVALENT."
"3098","FACING CASSETTE L.H. TO HYT PART NO. 50.1003.01/02/B2 OR ITS EQUIVALENT."
"3098","ONE SET CONSISTING THREE ITEMS 1 PIE BRAND TREAD WEAR MEASURING GAUGE MODEL TWG-1 C and W TO SOLID WHEEL DEMU S FOR TYRED WHEELS,MADE OF HARD ALLOY STEEL HARDNED MEASURING POINTERS AND USED TO MEASURED FOLLOWINGS:-a FLANGE WEAR b ROOT WEAR cTREAD WEAR d FLAT TYRE .THE GAUGE COMES IN NICELY FINISHED WOODEN STORING QTY. 02 NOS. 2 PIE BRAND TYRE DEFECT GAUGE /CONDEMNING GAUGE.MODEL TDG-1 BG AS PER PLATE 39 RULE 2.8.4 OF IRCA MADE OF HARD ALLOY STEEL PLATE.USED FOR INSPECTION OF CONDEMN FLANGE THICKNESS ,ROOT,RADIUS,SHARP FLANGE,DEEP FLANGE,FLATNESS OF TREAD ETC.OF WHEEL PROFILE,SUPPORTED IN CARRYING CASE. QTY. 02 NOS.NOTE:- CONDEMNING THICKNESS REQUIRED-22MM 3 J GAUGE FOR DIA MEASURING OF DEMU DPC,TC,DTC STANDARD WHEEL DIA OF DPC-952 MM STANDARD WHEEL DIA OF TC and DTC-915MM QTY. 02 NOS.."
"3098","ONE SET CONSISTING THREE ITEMS 1 PIE BRAND TREAD WEAR MEASURING GAUGE MODEL TWG-1 C and W TO SOLID WHEEL DEMU S FOR TYRED WHEELS,MADE OF HARD ALLOY STEEL HARDNED MEASURING POINTERS AND USED TO MEASURED FOLLOWINGS:-a FLANGE WEAR b ROOT WEAR cTREAD WEAR d FLAT TYRE .THE GAUGE COMES IN NICELY FINISHED WOODEN STORING QTY. 02 NOS. 2 PIE BRAND TYRE DEFECT GAUGE /CONDEMNING GAUGE.MODEL TDG-1 BG AS PER PLATE 39 RULE 2.8.4 OF IRCA MADE OF HARD ALLOY STEEL PLATE.USED FOR INSPECTION OF CONDEMN FLANGE THICKNESS ,ROOT,RADIUS,SHARP FLANGE,DEEP FLANGE,FLATNESS OF TREAD ETC.OF WHEEL PROFILE,SUPPORTED IN CARRYING CASE. QTY. 02 NOS.NOTE:- CONDEMNING THICKNESS REQUIRED-22MM 3 J GAUGE FOR DIA MEASURING OF DEMU DPC,TC,DTC STANDARD WHEEL DIA OF DPC-952 MM STANDARD WHEEL DIA OF TC and DTC-915MM QTY. 02 NOS.."
"3098","ONE SET CONSISTING THREE ITEMS 1 PIE BRAND TREAD WEAR MEASURING GAUGE MODEL TWG-1 C and W TO SOLID WHEEL DEMU S FOR TYRED WHEELS,MADE OF HARD ALLOY STEEL HARDNED MEASURING POINTERS AND USED TO MEASURED FOLLOWINGS:-a FLANGE WEAR b ROOT WEAR cTREAD WEAR d FLAT TYRE .THE GAUGE COMES IN NICELY FINISHED WOODEN STORING QTY. 02 NOS. 2 PIE BRAND TYRE DEFECT GAUGE /CONDEMNING GAUGE.MODEL TDG-1 BG AS PER PLATE 39 RULE 2.8.4 OF IRCA MADE OF HARD ALLOY STEEL PLATE.USED FOR INSPECTION OF CONDEMN FLANGE THICKNESS ,ROOT,RADIUS,SHARP FLANGE,DEEP FLANGE,FLATNESS OF TREAD ETC.OF WHEEL PROFILE,SUPPORTED IN CARRYING CASE. QTY. 02 NOS.NOTE:- CONDEMNING THICKNESS REQUIRED-22MM 3 J GAUGE FOR DIA MEASURING OF DEMU DPC,TC,DTC STANDARD WHEEL DIA OF DPC-952 MM STANDARD WHEEL DIA OF TC and DTC-915MM QTY. 02 NOS.."
"3098","Lockers in grey colour with eight lockers as number plate on each locker size 3 x1-1.1/2 x6.1/2 feet locker hand door shall be confirm to IS:3314/1984 2005 . Thickness of sheet is 0.8mm minimum required.Make KEC, Delite"
"3098","Lockers in grey colour with eight lockers as number plate on each locker size 3 x1-1.1/2 x6.1/2 feet locker hand door shall be confirm to IS:3314/1984 2005 . Thickness of sheet is 0.8mm minimum required.Make KEC, Delite"
"3098","Knuckle Pivot Pin for Dellner Coupler to Part No. 1030605."
"3098","Plate for Dellner Coupler to Part No. 1020212."
"3098","Wing Pocket and Guide Arm NO-GO Gauge for Deller Coupler to Part No. 1037473."
"3098","Compression Spring for Dellner Coupler to Part No. 1020223."
"3098","Rotary Lock Lift Assy. for Coupler Head to ESCORTS Drg.No. SK-613 and Confirming to RDSO Spec.No. C-K009, Rev-2. Amendement No. 1."
"3098","Grease packing capacity of 20kgs each tin. to make : molygraph - SG180 or equivalent. specification : 1. Appearance : smooth. 2. colour : yellowish. 3. base oil : mineral 4. base : lithium / calcium. 5. worked penetration : 265 - 295 6. operating temp. range : -20/ 140."
"3098","Barrel lock as per Drg.no.SCR/C and W/ Sketch No.1211/C, Item No. 1, Item No: 3 and item No:4 and Item No. 5."
"3098","SPRING for push type Flushing valve item No.8 of Drg. No.ICF / SK-6-3-425 as per latest alt m 07 / 2009."
"3098","BRASS BALL VALVE 25mm. Screwed female ends, lever operated.Make: ZOLOTO / L and T / AUDCO only as per Specification, part name and material and IS specification: 1 Stem: Forged Brass IS 6912 Gr. FLB,2 .Nut: Carbon steel IS1367,3 Washer: Carbon steel IS1367,4 .Lever: Carbon steel IS2062,5 . Body and Gland Nut : Forged Brass IS 6912 Gr.FLB,6 . Gland packing: PTFE BS EN 12086-1,7 .Ball: Forged Brass IS 6912 Gr.FLB,8 . Body seat Ring: PTFE BS EN 12086-1,9 .Bonnet: Forged Brass IS 6912 Gr.FLB. Technical leaflet of the model and warranty and valve test certificates to be submitted."
"3098","Double acting air cylinder for cylinder for door operating mechanism of BOBRN WAGONS as per RDSO Drg.No.WD-92081-S-54 Alt.1"
"3098","15 mm Gravity type spring loaded water tap to drawing No.RDSO/Sketch: CG-K6070 Item No. 2"
"3098","Bracket assembly complete for vestibule garbage bag as per DRG No. ADME/CBE/D/C-014"
"3098","Door mats synthetic type Blue/Green of size : 750mm x 1460mm. make : DURO TURF, Arestoturf/ultimate/Astroturf. specifications: 1. Material: synthetic resin. 2. under lay : latex budding anti skid . 3. flower bud per sq. inch : 6 numbers approx /- 5 percent . 4. No of leaves per sq. inch : 48 nos approx /-10 percent . 5. No of leaves per each bud : 08 nos. 6. pile height : 14mm /-2mm . 7. both sides PVC beading."
"3098","Opaque leak proof disposable polythene covers to a size of height 45 inches minimum and width 20 inches minimum, minimum 40 microns with a carrying capacity of 25 kg minimum."
"3098","Health faucet with Tube and Hook, similar to model no: Allied 54 of ACCO make. Make: ACCO/SUVIDHA/SEIKO/ITC."
"3098","Connector OKC 50/90 Female to suit distribution box of ESABE make multi operated Welding Plants."
"3098","Free Slack Contour Gauge for Dellner Coupler to Part No. 166263."
"3098","Poly grass mat Soft type Red Colour of size: 0.61 X 15 meters per Roll of make: Duro soft / Ultimate / Prestige. Specification: 1 .PVC Synthetic material. 2 .Loop dia 0.6mm 3 .Thickness base 2mm. 4 .Total thickness 12mm Approx /- 2mm ."
"3098","Mirror of size 700 x 900 x 5mm thickness for outside wash basin of LHB coaches. spec. No. IS 3438/94 secons Rev. Amnd.2 and quality AA/SSQ as per IS.2835/87 Third Rev. ."
"3098","WASHER for push type flushing valve item No.11 of Drg. No.ICF / SK-6-3-425 as per latest alt m 07 / 2009."
"3098","Washer dia 30 x 3mm for push type flushing valve item No.10 of Drg.No.ICF/SK-6-3-425 AS PER LATEST ALT M 07/2009."
"3098","Hose Connection for Air Spring Suspension of SAE 100 R3, 550mm long with 3/4 BSP female Swivel nut parallel threads on both ends as per RDSO Sketch-K1054. Note: To be procured from Approved sources of ICF and RDSO for Air Brake hose coupling for coaching stock. INSPECTION : BY RITES."
"3098","Knuckle thrower for coupler head to Escorts DRG No. SK-1650 and Confirming to RDSO. Spec. No. C-K009. Rev-2. Amendment No. 1"
"3098","Modified Holding Magnet Valve Complete to M/s. WSF Ltd., Part No: IC70221/1, suitable for Electro Pneumatic brake unit type LD2 Modified of WSF Make."
"3098","Front support part No. 727857000 for spring cartridge assembly ."
"3098","Wing Pocket and Guard Arm Gauge for Dellner Coupler to Part No. 1037450."
"3098","Cutt Off Angle Cock with Vent for Freight and Coaching Stock Confirming to RDSO Spec. No. 02-ABR-02, Amend No. 03 of April 10 and Appendix - D and Drg. No. WD-88123-S-01 alt.-02. Note: RDSO Approved sources only to quote."
"3098","Feed Valve F Type Complete to WSF Part No: C75550/1 for WSF Make Brake Controller."
"3098","Transformer Crocodile type 400 Amps Capacity or Heavy duty earth clamp of Esabe Make Item Code No: 200-2002-001 only. Make: Wel Spring or ESAB or Ador only."
"3098","Kit Element Lube Oil with Ring to Cummins Part No: Kit 3238204. One Kit consists of 1 No. Filter and 1 No. Ring . Make: Fleet Guard/Cummins. OEM/OEM Authorised dealer of RDSO Approved source to quote ."
"3098","Kit Super By Pass Filter Element with Ring to Cummins Part No: Kit3879488. One Kit Consists of 1 No. Filter and 1 No. Ring . Make: Fleet Guard/Cummins OEM/OEM Authorised Dealer of RDSO Approved sources to quote ."
"3098","Kit Fuel Filter with Ring to Cummins Part No: Kit 3238493. One Kit consists of 1 No. Filter and 1 No. Ring . Make: Fleet Guard/ Cummins. OEM/OEM Authorized dealers of RDSO Approved Sources to quote ."
"3098","Free Slack Contour Gauge for Dellner Coupler to Part No. 166263."
"3098","Brake Drum Dia-400 to Part No: BB/066/B-125, suitable to Surface Traversor 70T Cap. Model: B-066 Make: Unique Material Handlers Pvt.Ltd."
"3098","Guards Emergency Brake Valve with 8mm dia choke at out let port and confirming to RDSO Specn. No. 02-ABR-02, Amendement No. 3 of April 2010, Appendix G Drg.No. SK-73549.Alt.5. Note:-RDSO Approved sources only to quote."
"3098","1/2 Inch Safety Valve Type E1 set at 4 kg/cm2 to M/s. WSF Part No. IB70443/3 or to M/s. Escorts Part No. 4A 11422a."
"3098","Set of Maintenance Spares for Overhauling Passenger Emergency Alarm Signal Devic RDSO Spec No.02-ABR-02 with Appendix-J and Drg.No. SK-97017, Alt-02 consisting of 06 Items as per detailed descirption herewith:- a PistonDrg.Ref:-RDSO SK.NO. 97018, Sheet-1, Alt-4, Item-2 IS:319 HARD HD , Qty/Kit: 01 b Locking Screw R 1/2 Drg.Ref: RDSO SK.NO. 97017, ALT-2, Item-20, DIN:910, Qty/Kit:01 c Plug 3/8 rg. Ref: RDSO SK.No. 97017, Alt-2, item-22, DIN:910, /qty/Kit: 01, d Cove Plate Drg.Ref: RDSO SK.No. 97018, Sheet-2, Alt-4, item-11, IS 513-0-14G, THK, Qty/Kit: 01, e Roller Drg. Ref: RDSO.SK.No.97018, Sheet-2, Alt-4, Item-1, BS 970 EN8 ALT BIS 2062 Fe410WA, QTY/KIT: 01. f Washer dia 5.5 Drg.Ref: RDSO SK.No. 97017, Alt-2, item-17 IS: 2016. Qty/Kit: 06. Note:-RDSO Approved vendors only need to quote."
"3098","1/2 inch Safety Valve type E1 set at 1.8 kg/cm2 to M/s. WSF Part No. IB70443/4 or to M/s. Escorts Part No. 4A 11422a."
"3098","Collar for Axle Box Roller Bearing arrangement to ICF Drg.no. EMU/M-0-2-005, Item-1, Alt-n."
"3098","ISI MARKED BRASS BALL VALVE OF SIZE : 25-mm. SCREWED FEMALE ENDS,LEVER OPERATED. MAKE : ZOLOTO/L and T/AUDCO ONLY. SPECIFICATION FOR BRASS BALL VALVE - 25 mm. 1 NAME OF THE PART : STEM, MATERIAL:FORGED BRASS. SPECIFICATION : IS 6912 Gr. FLB. 2 NAME OF THE PART : NUT, MATERIAL :CARBON STEEL. SPECIFICATION : IS 1367. 3 NAME OF THE PART : WASHER, MATERIAL : CARBON STEEL. SPECIFICATION : IS 1367. 4 NAME OF THE PART : LEVER, MATERIAL : CARBON STEEL, SPECIFICATION : IS 2062. 5 NAME THE PART : BODY GLAND, MATERIAL.FORGED BRASS.SPECIFICATION : IS : 6912. Gr FLB. 6 NAME OF THE PART : GLAND PACKING, MATERIAL PTFE SPECIFICATION,BS EN:12086-1. 7 NAME OF THE PART : BALL, MATERIAL : FORGED BRASS, SPECIFICATION : IS : 6912 Gr.FLB. 8 NAME OF THE PART : BODY SEAT RING, MATERIAL : PTFE, SPECIFICATION : BSEN 12086-1. 9.NAME OF THE PART : BONNET, MATERIAL : FORGED BRASS, SPECIFICATION IS : 6912Gr.FLB."
"3098","Full Gear Coupling 104 suitable for Surface Traversor 70 Ton Model: B-066. Make:-Unique Material Handlers Pvt. Ltd."
"3098","Brake EHT 300-18 suitable to Surface Traverson 70 Ton Cap Model: B-066, Make: Unique Material Handlers Pvt. Ltd."
"3098","Clutch Plates, 12 dia Ceramic for TATA Lorry Model No: 1613TC."
"3098","Opening Machanism for Ball Valve for Bio-Toilet Retention tank to RCF Drg. No. M1005986, Alt-b. Note:-Past Performance of this item to be enclosed by firms, otherwise offer will be passed over. Preferred DP: EX-STOCK."
"3098","Brake Drum Dia 300mm to Part No:B/005/B-124 suitable for Surface Traversor 70 Ton Cap. Model: B-066. Make: Unique Material Handlers Pvt Ltd."
"3098","Luggage Rack Complete to ICF Drg.No. ICF/MRVC/M-6-2-002, Col-II, Alt- g ,"
"3098","TWIST HEAD FOR AUTOMATIC TWIST LOCK OF BLC WAGONS, AS PER HOLLAND DRG. NO. ST - 971207, PART NO. 70160 AND SANROK PART NO. 70160."
"3098","M.S. Bottom Liner For Lower Hytrel Washer for Primary Suspension Drg.No. SCR/C and W/Sketch No. 1212/C, item-1, Alt-nil. Inspection : BY RITES."
"3098","OHE power presence / absence indicator for eight wheeler tower car DETC As per specification and drawing no.DTI--026 , DTI--148 and DTI -- 070. Drg.No.CLW / ES / I - 25."
"3098","Kit Element Lube Oil with Ring to Cummins Part No: Kit 3238204. One Kit consists of 1 No. Filter and 1 No. Ring . Make: Fleet Guard/Cummins. OEM/OEM Authorised dealer of RDSO Approved source to quote ."
"3098","SEALING RING A105/130/12 TO RCF PL.NO.33590631."
"3098","SOFT GENTLE LIQUID SOAP FILLING IN PLASTIC CONTAINER WITH PUMP AND NOZZLE IN 250 ml. NET. MAKE : FEM/POLMOLIVE/DETOL."
"3098","Lock for coupler head to Escorts DRG No. SK-612 and Comfirming to RDSO . Spec. No. C-K009. Rev-2. Amendment No. 1"
"3098","Main pin for knuckls to Escorts DRG No. SK-575 and confirming to RDSO, SPEC No. C-K009, Rev.-2 Amendment No. 1"
"3098","Vinyle stickers pasted on Acrylic sheet Transparent in coaches as per Drg. No.SC/Chg. Misc./01/2015 rev.00 , S.No.9."
"3098","Vinyle stickers pasted on acrylic sheet Transparent in coaches as per Drg. No.SC/Chg. Misc./01/2015 rev.00 , S.No.14."
"3098","Heavy Duty Brake and Clutch Fluid Oil, Dot-3, Suitable for all Brake and Clutch System expecpt Mineral Oil System Make: Castrol or TVS Grilling Each Bottle contains-01 Liters ."
"3098","SEALING RING A105/130/12 TO RCF PL.NO.33590631."
"3098","Bags for bed roll packing out of 1680 nylon matte of water proof of size.height : 35 inches x length : 25 inches x breadth : 17 inches."
"3098","HP PRINT HEAD C4901A CYAN/MEGENTA."
"3098","SPEED SENSING DEVICE SIMILAR TO PART NO.150001[ICF DESIGN] AS PER RDSO SPECIFICATION No.C-9906 Rev.03. MAKE: AIKON/VIBHU/AIR FLOW OR SIMILAR."
"3098","Vinyle stickers pasted on acrylic sheet Transparent in coaches as per Drg. No.SC/Chg/ Misc./01/2015 rev.00 , S.No.14."
"3098","FRP LITTER BIN BELOW OUTSIDE WASH BASIN TO ICF DRG NO.ICF/STD-6-4-004,COl.II Alt:g/5."
"3098","Vinyle stickers pasted on Acrylic sheet Transparent in coaches as per Drg. No.SC/Chg. Misc./01/2015 rev.00 , S.No.9."
"3098","PVC slot grey channel 45 x 45 mm [each 2 mtrs ] length. make : Modi / Cone / Rdiant / Accord."
"3098","Kit Super By Pass Filter Element with Ring to Cummins Part No: Kit3879488. One Kit Consists of 1 No. Filter and 1 No. Ring . Make: Fleet Guard/Cummins OEM/OEM Authorised Dealer of RDSO Approved sources to quote ."
"3098","Wing Pocket and Guard Arm Gauge for Dellner Coupler to Part No. 1037450."
"3098","KNUCKLE FOR COUPLER HEAD TO ESCORTS DRG NO.SK-611 and CONFIRMING TO RDSO. SPEC.NO.C-K009, REV-2, AMENDMENT NO.1"
"3098","Rotation Lock Lift Assembly for Dellner Coupler to Part No. 1030604."
"3098","Un-Coupling Device for Dellner Coupler to Part No. 1005955."
"3098","Knuckle Thrower for Dellne Coupler to Part No. 1030475."
"3098","Contour Gauge for Dellner Coupler to Part No. 1037499."
"3098","Opening Machanism for Ball Valve for Bio-Toilet Retention tank to RCF Drg. No. M1005986, Alt-b. Note:-Past Performance of BIO TOILET SPARES to be enclosed by firms along with offers otherwise offer will be passed over. Past performance i.e. R.Notes and Acceptabnce of material. Preferred DP: EX-STOCK."
"3098","Stainless Steel Towel Ring to ICF Drg.No. ICF/STD-6-3-107, Item-1, Alt-Nil."
"3098","Stop Plate to RCF Drg.No. 1901352 ver/01 and material specification to NYLON-66 as per RDSO Specification No. C-8107. Note: To be procured from RDSO Approved sources of Nylon-66 brake gear bushes."
